model_id,logloss,auc,aucpr,mean_per_class_error,rmse,mse,algo,horizon_min
GBM_grid_1_AutoML_2_20260923_180332_model_4,0.701918075363224,0.538480472492958,0.537646540537534,0.498776508972268,0.503800808021222,0.253815254162836,GBM,2
GBM_4_AutoML_2_20260923_180332,0.704201878546511,0.527655229835474,0.533267337169951,0.491953278152224,0.505026798098686,0.255052066797811,GBM,2
DRF_1_AutoML_2_20260923_180332,0.704439607873002,0.516499076338054,0.532047290288782,0.499138501570414,0.505305160372535,0.255333305099113,DRF,2
GBM_3_AutoML_2_20260923_180332,0.705426285091064,0.506510843452172,0.520793266530982,0.5,0.50575526480889,0.25578838788191,GBM,2
DeepLearning_grid_2_AutoML_2_20260923_180332_model_2,0.705964645023314,0.502974430073579,0.518132960798662,0.499184339314845,0.505205487678061,0.255232584780028,DeepLearning,2
DeepLearning_grid_1_AutoML_2_20260923_180332_model_2,0.706281890447158,0.521408424349512,0.538129324064665,0.498776508972268,0.505847908469639,0.255882106503108,DeepLearning,2
DeepLearning_grid_2_AutoML_2_20260923_180332_model_1,0.706386772043204,0.511802905233917,0.521459811983228,0.5,0.505891207372825,0.255925913697134,DeepLearning,2
GBM_grid_1_AutoML_2_20260923_180332_model_2,0.707378123568836,0.512218898462489,0.52610128366494,0.5,0.506562915960662,0.256605987826569,GBM,2
DeepLearning_1_AutoML_2_20260923_180332,0.707703706811884,0.512900185485886,0.524919792052575,0.494175780842837,0.506780441971085,0.256826416364409,DeepLearning,2
DeepLearning_grid_3_AutoML_2_20260923_180332_model_2,0.711317659798401,0.488966603749653,0.507692680639311,0.5,0.5079478684363,0.25801103704898,DeepLearning,2
DeepLearning_grid_1_AutoML_2_20260923_180332_model_3,0.715307789422972,0.514854568767291,0.53081510145708,0.5,0.509603826494384,0.259696059977718,DeepLearning,2
GBM_grid_1_AutoML_2_20260923_180332_model_1,0.717929316869982,0.507804346925166,0.520919335213199,0.496283689172371,0.511295559494542,0.261423149158837,GBM,2
GBM_grid_1_AutoML_2_20260923_180332_model_6,0.719793137529034,0.504148001913883,0.521412537197901,0.499161420442629,0.512046901987977,0.262192029835484,GBM,2
DeepLearning_grid_1_AutoML_2_20260923_180332_model_1,0.750713865330189,0.509003977209222,0.518167161217946,0.499592169657423,0.521962533544875,0.272444886424585,DeepLearning,2
GBM_grid_1_AutoML_2_20260923_180332_model_5,0.757541866750634,0.506362027761347,0.512032772071597,0.5,0.525961415842892,0.27663541095546,GBM,2
GLM_1_AutoML_3_20260923_181403,0.692824142247129,0.519153230074018,0.516357929271556,0.499605988967691,0.499836573222499,0.24983659993081,GLM,3
GBM_grid_1_AutoML_3_20260923_181403_model_3,0.692960615267498,0.536181582539415,0.539026166354613,0.499605988967691,0.49985930884356,0.249859328637562,GBM,3
DeepLearning_grid_3_AutoML_3_20260923_181403_model_3,0.693320968971436,0.514430540662967,0.519514645079124,0.5,0.500082418386573,0.250082425179364,DeepLearning,3
GBM_1_AutoML_3_20260923_181403,0.696302086255272,0.529880732285984,0.535497943863762,0.498807685724947,0.501495744249484,0.251497981500343,GBM,3
GBM_5_AutoML_3_20260923_181403,0.699290889401083,0.519886217596902,0.521351499861437,0.499211977935382,0.502839655598673,0.252847719242592,GBM,3
GBM_2_AutoML_3_20260923_181403,0.700410992736444,0.520602271414636,0.522564146499524,0.498787123368695,0.50336691246994,0.253378248569521,GBM,3
GBM_grid_1_AutoML_3_20260923_181403_model_7,0.701194110458616,0.516558442147508,0.521708545715067,0.5,0.503715391570694,0.253729195705218,GBM,3
GBM_3_AutoML_3_20260923_181403,0.701255045990431,0.518339505064085,0.527343919138465,0.497200798061333,0.503798453071389,0.253812881317124,GBM,3
DeepLearning_grid_2_AutoML_3_20260923_181403_model_2,0.703200917275405,0.516986018202524,0.522548409395674,0.499605988967691,0.503734903369224,0.253748852872401,DeepLearning,3
XRT_1_AutoML_3_20260923_181403,0.703393362521677,0.521649137257961,0.525332363101852,0.499605988967691,0.504762733291582,0.254785416919989,DRF,3
DeepLearning_grid_3_AutoML_3_20260923_181403_model_1,0.703921240629509,0.514706015759232,0.514601136092503,0.5,0.503940039165835,0.253955563074463,DeepLearning,3
DeepLearning_grid_2_AutoML_3_20260923_181403_model_3,0.704418430904315,0.52134009713899,0.533275799512521,0.5,0.504188128479745,0.254205668899908,DeepLearning,3
GBM_4_AutoML_3_20260923_181403,0.705223028185683,0.525883773095608,0.530025514523981,0.5,0.505407313482595,0.255436552521695,GBM,3
