horizon_min,model_id,algo,automl_rank,tau,base_side,n,coverage,wins,win_rate,base_wins,selected_baseline_win_rate,directional_edge,n_long,long_win_rate,n_short,short_win_rate,tie_rate,mean_confidence
1,GBM_5_AutoML_1_20260923_175254,GBM,9,0.075,1,1022,0.254039274173502,485,0.474559686888454,460,0.450097847358121,0.0244618395303327,587,0.494037478705281,435,0.448275862068966,0.136986301369863,0.120125305466555
1,GBM_2_AutoML_1_20260923_175254,GBM,10,0,1,4023,1,1720,0.427541635595327,1713,0.425801640566741,0.00173999502858563,2195,0.423234624145786,1828,0.432713347921225,0.150882426050211,0.0560881981902846
1,GBM_2_AutoML_1_20260923_175254,GBM,10,0.025,1,2743,0.681829480487199,1188,0.433102442581116,1159,0.422530076558513,0.010572366022603,1542,0.424124513618677,1201,0.444629475437136,0.148377688662049,0.0765073441353911
1,GBM_2_AutoML_1_20260923_175254,GBM,10,0.05,1,1748,0.434501615709669,761,0.435354691075515,742,0.424485125858124,0.0108695652173913,1039,0.421559191530318,709,0.455571227080395,0.137871853546911,0.0990470122130912
1,GBM_2_AutoML_1_20260923_175254,GBM,10,0.075,1,1070,0.265970668655232,484,0.452336448598131,456,0.426168224299065,0.0261682242990654,667,0.430284857571214,403,0.488833746898263,0.124299065420561,0.122781140846028
1,GBM_4_AutoML_1_20260923_175254,GBM,11,0,1,4023,1,1719,0.427293064876958,1713,0.425801640566741,0.00149142431021626,2109,0.426268373636795,1914,0.428422152560084,0.150882426050211,0.0742093295299448
1,GBM_4_AutoML_1_20260923_175254,GBM,11,0.025,1,3119,0.775292070594084,1352,0.433472266752164,1318,0.422571336966977,0.0109009297851876,1666,0.42797118847539,1453,0.439779766001377,0.150368707919205,0.092005258881295
1,GBM_4_AutoML_1_20260923_175254,GBM,11,0.05,1,2328,0.578672632363908,1019,0.437714776632302,987,0.423969072164948,0.013745704467354,1279,0.430023455824863,1049,0.447092469018113,0.144759450171821,0.110522920689039
1,GBM_4_AutoML_1_20260923_175254,GBM,11,0.075,1,1638,0.407158836689038,737,0.44993894993895,709,0.432844932844933,0.0170940170940171,933,0.448017148981779,705,0.452482269503546,0.137973137973138,0.130978255385893
1,GBM_grid_1_AutoML_1_20260923_175254_model_1,GBM,12,0,1,4023,1,1696,0.421575938354462,1713,0.425801640566741,-0.00422570221227941,2159,0.422417786012043,1864,0.420600858369099,0.150882426050211,0.0891862376832999
1,GBM_grid_1_AutoML_1_20260923_175254_model_1,GBM,12,0.025,1,3306,0.821774794929157,1393,0.421355111917725,1405,0.424984875983061,-0.00362976406533577,1787,0.420817011751539,1519,0.421988150098749,0.150937689050212,0.105836109039655
1,GBM_grid_1_AutoML_1_20260923_175254_model_1,GBM,12,0.05,1,2677,0.66542381307482,1140,0.425849831901382,1130,0.422114307060142,0.00373552484124018,1467,0.422631220177232,1210,0.429752066115702,0.151662308554352,0.12198561176761
1,GBM_grid_1_AutoML_1_20260923_175254_model_1,GBM,12,0.075,1,2014,0.500621426795924,865,0.429493545183714,856,0.425024826216485,0.00446871896722939,1117,0.427036705461056,897,0.432552954292085,0.151439920556107,0.141652688405363
1,XRT_1_AutoML_1_20260923_175254,DRF,13,0,1,4023,1,1721,0.427790206313696,1713,0.425801640566741,0.001988565746955,2087,0.428845232390992,1936,0.426652892561983,0.150882426050211,0.0710602511118115
1,XRT_1_AutoML_1_20260923_175254,DRF,13,0.025,1,3132,0.778523489932886,1348,0.430395913154534,1351,0.431353767560664,-0.000957854406130276,1639,0.433801098230629,1493,0.426657736101808,0.146871008939974,0.087721100669202
1,XRT_1_AutoML_1_20260923_175254,DRF,13,0.05,1,2326,0.578175490927169,1018,0.437661220980224,1020,0.438521066208083,-0.00085984522785898,1259,0.443208895949166,1067,0.431115276476101,0.143164230438521,0.105206917735042
1,XRT_1_AutoML_1_20260923_175254,DRF,13,0.075,1,1587,0.3944817300522,701,0.441713925645873,700,0.441083805923125,0.000630119722747291,888,0.449324324324324,699,0.432045779685265,0.139886578449905,0.12551941372426
1,DRF_1_AutoML_1_20260923_175254,DRF,14,0,1,4023,1,1755,0.436241610738255,1713,0.425801640566741,0.0104399701715138,2136,0.437265917602996,1887,0.435082140964494,0.150882426050211,0.0734255402033247
1,DRF_1_AutoML_1_20260923_175254,DRF,14,0.025,1,3161,0.785732040765598,1378,0.435937994305599,1341,0.424232837709586,0.0117051565960139,1721,0.435212085996514,1440,0.436805555555556,0.148054413160392,0.0900284689132309
1,DRF_1_AutoML_1_20260923_175254,DRF,14,0.05,1,2334,0.580164056674124,1014,0.434447300771208,986,0.422450728363325,0.0119965724078835,1306,0.433384379785605,1028,0.43579766536965,0.148243359040274,0.108885478430326
1,DRF_1_AutoML_1_20260923_175254,DRF,14,0.075,1,1634,0.406164553815561,713,0.436352509179927,695,0.425336597307222,0.011015911872705,950,0.438947368421053,684,0.432748538011696,0.15422276621787,0.129141729593218
1,GBM_grid_1_AutoML_1_20260923_175254_model_2,GBM,15,0,1,4023,1,1740,0.432513049962714,1713,0.425801640566741,0.00671140939597315,2236,0.431574239713775,1787,0.433687744823727,0.150882426050211,0.0685619740646618
1,GBM_grid_1_AutoML_1_20260923_175254_model_2,GBM,15,0.025,1,3016,0.749689286602038,1301,0.431366047745358,1287,0.426724137931035,0.00464190981432361,1725,0.431884057971014,1291,0.430673896204493,0.155503978779841,0.0874264345166441
1,GBM_grid_1_AutoML_1_20260923_175254_model_2,GBM,15,0.05,1,2196,0.54586129753915,966,0.439890710382514,954,0.434426229508197,0.00546448087431695,1287,0.441336441336441,909,0.437843784378438,0.146630236794171,0.10630406707222
1,GBM_grid_1_AutoML_1_20260923_175254_model_2,GBM,15,0.075,1,1460,0.362913248819289,665,0.455479452054795,636,0.435616438356164,0.0198630136986301,901,0.452830188679245,559,0.459749552772809,0.13972602739726,0.128584518185941
1,DeepLearning_grid_3_AutoML_1_20260923_175254_model_2,DeepLearning,16,0,1,4023,1,1703,0.423315933383048,1713,0.425801640566741,-0.00248570718369379,0,,4023,0.423315933383048,0.150882426050211,0.0701481841402435
1,DeepLearning_grid_3_AutoML_1_20260923_175254_model_2,DeepLearning,16,0.025,1,4023,1,1703,0.423315933383048,1713,0.425801640566741,-0.00248570718369379,0,,4023,0.423315933383048,0.150882426050211,0.0701481841402435
1,DeepLearning_grid_3_AutoML_1_20260923_175254_model_2,DeepLearning,16,0.05,1,4023,1,1703,0.423315933383048,1713,0.425801640566741,-0.00248570718369379,0,,4023,0.423315933383048,0.150882426050211,0.0701481841402435
1,DeepLearning_grid_2_AutoML_1_20260923_175254_model_2,DeepLearning,17,0,1,4023,1,1737,0.431767337807606,1713,0.425801640566741,0.00596569724086504,448,0.497767857142857,3575,0.423496503496503,0.150882426050211,0.043463060100682
1,DeepLearning_grid_2_AutoML_1_20260923_175254_model_2,DeepLearning,17,0.025,1,799,0.198608003977132,369,0.461827284105131,379,0.474342928660826,-0.0125156445556947,340,0.485294117647059,459,0.444444444444444,0.083854818523154,0.122768956896599
1,DeepLearning_grid_2_AutoML_1_20260923_175254_model_2,DeepLearning,17,0.05,1,627,0.155853840417599,295,0.470494417862839,292,0.465709728867624,0.00478468899521528,259,0.494208494208494,368,0.453804347826087,0.0893141945773525,0.146239618683847
1,DeepLearning_grid_2_AutoML_1_20260923_175254_model_2,DeepLearning,17,0.075,1,480,0.119313944817301,224,0.466666666666667,235,0.489583333333333,-0.0229166666666666,205,0.51219512195122,275,0.432727272727273,0.08125,0.172238693120353
1,GBM_grid_1_AutoML_1_20260923_175254_model_4,GBM,18,0,1,4023,1,1712,0.425553069848372,1713,0.425801640566741,-0.000248570718369368,2228,0.429982046678636,1795,0.420055710306407,0.150882426050211,0.0734935763850921
1,GBM_grid_1_AutoML_1_20260923_175254_model_4,GBM,18,0.025,1,3194,0.793934874471787,1351,0.422980588603632,1377,0.431120851596744,-0.0081402629931121,1817,0.430930104567969,1377,0.412490922294844,0.147150907952411,0.0893246687399854
1,GBM_grid_1_AutoML_1_20260923_175254_model_4,GBM,18,0.05,1,2368,0.588615461098683,1035,0.437077702702703,1040,0.439189189189189,-0.00211148648648651,1374,0.444687045123726,994,0.426559356136821,0.135135135135135,0.10740436174253
1,GBM_grid_1_AutoML_1_20260923_175254_model_4,GBM,18,0.075,1,1630,0.405170270942083,714,0.438036809815951,728,0.446625766871166,-0.00858895705521467,957,0.450365726227795,673,0.420505200594354,0.129447852760736,0.128041314678148
