year,horizon_min,model,tau,n,wins,base_wins_selected,coverage,win_rate,selected_baseline_win_rate,full_n,full_model_wins,full_base_wins,full_model_win_rate,full_baseline_win_rate,selection_gain_vs_full_baseline,selected_directional_edge,n_long,long_wins,long_win_rate,n_short,short_wins,short_win_rate,mean_p_up,mean_confidence
2018,1200,Full,0.1,1941,1083,1083,0.153353875325907,0.557959814528594,0.557959814528594,12657,6839,6976,0.540333412340997,0.551157462273841,0.00680235225475301,0,1941,1083,0.557959814528594,0,0,,0.625505540260976,0.125505540260976
2018,1200,Full,0.15,269,162,162,0.0212530615469701,0.602230483271376,0.602230483271376,12657,6839,6976,0.540333412340997,0.551157462273841,0.051073020997535,0,269,162,0.602230483271376,0,0,,0.674016494472372,0.174016494472372
2019,1200,Calendar-only,0,14056,8369,8369,1,0.595404097894138,0.595404097894138,14056,8369,8369,0.595404097894138,0.595404097894138,0,0,14056,8369,0.595404097894138,0,0,,0.561921827736339,0.0619218277363388
2019,1200,Calendar-only,0.025,13860,8253,8253,0.98605577689243,0.595454545454546,0.595454545454546,14056,8369,8369,0.595404097894138,0.595404097894138,5.04475604077292e-05,0,13860,8253,0.595454545454546,0,0,,0.562495743543436,0.0624957435434361
2019,1200,Calendar-only,0.05,10613,6287,6287,0.755051223676722,0.592386695562047,0.592386695562047,14056,8369,8369,0.595404097894138,0.595404097894138,-0.00301740233209113,0,10613,6287,0.592386695562047,0,0,,0.569511191372403,0.0695111913724031
2019,1200,Calendar-only,0.075,2908,1658,1658,0.206886738759249,0.570151306740028,0.570151306740028,14056,8369,8369,0.595404097894138,0.595404097894138,-0.0252527911541102,0,2908,1658,0.570151306740028,0,0,,0.584762983775575,0.084762983775575
2019,1200,Calendar-only,0.1,164,83,83,0.0116676152532726,0.50609756097561,0.50609756097561,14056,8369,8369,0.595404097894138,0.595404097894138,-0.089306536918528,0,164,83,0.50609756097561,0,0,,0.604189822868267,0.104189822868267
2019,1200,Market-state,0,14056,8368,8369,1,0.595332953898691,0.595404097894138,14056,8368,8369,0.595332953898691,0.595404097894138,-7.11439954468318e-05,-7.11439954468318e-05,14055,8368,0.595375311277126,1,0,0,0.555074420254654,0.0550761671567137
2019,1200,Market-state,0.025,14044,8363,8363,0.999146272054639,0.595485616633438,0.595485616633438,14056,8368,8369,0.595332953898691,0.595404097894138,8.15187393000683e-05,0,14044,8363,0.595485616633438,0,0,,0.555106442485129,0.0551064424851292
2019,1200,Market-state,0.05,8434,5164,5164,0.600028457598179,0.612283613943562,0.612283613943562,14056,8368,8369,0.595332953898691,0.595404097894138,0.0168795160494241,0,8434,5164,0.612283613943562,0,0,,0.562234245875068,0.0622342458750677
2019,1200,Market-state,0.075,1012,656,656,0.0719977233921457,0.648221343873518,0.648221343873518,14056,8368,8369,0.595332953898691,0.595404097894138,0.0528172459793801,0,1012,656,0.648221343873518,0,0,,0.589538287312363,0.089538287312363
2019,1200,Market-state,0.1,174,109,109,0.0123790552077405,0.626436781609195,0.626436781609195,14056,8368,8369,0.595332953898691,0.595404097894138,0.0310326837150576,0,174,109,0.626436781609195,0,0,,0.619009170458544,0.119009170458544
2019,1200,Market-state,0.15,10,3,3,0.000711439954467843,0.3,0.3,14056,8368,8369,0.595332953898691,0.595404097894138,-0.295404097894138,0,10,3,0.3,0,0,,0.668122157796404,0.168122157796404
2019,1200,Full,0,14056,8323,8369,1,0.592131474103586,0.595404097894138,14056,8323,8369,0.592131474103586,0.595404097894138,-0.00327262379055204,-0.00327262379055204,13822,8229,0.595355230791492,234,94,0.401709401709402,0.558220229078369,0.0585613949551164
2019,1200,Full,0.025,12630,7523,7521,0.898548662492886,0.595645288994458,0.595486935866983,14056,8323,8369,0.592131474103586,0.595404097894138,0.000241191100319949,0.000158353127474253,12616,7515,0.595672162333545,14,8,0.571428571428571,0.563417516494846,0.0634812924611713
2019,1200,Full,0.05,8566,5104,5104,0.609419464997154,0.595844034555218,0.595844034555218,14056,8323,8369,0.592131474103586,0.595404097894138,0.000439936661080553,0,8566,5104,0.595844034555218,0,0,,0.575412111404433,0.0754121114044331
2019,1200,Full,0.075,3756,2259,2259,0.267216846898122,0.601437699680511,0.601437699680511,14056,8323,8369,0.592131474103586,0.595404097894138,0.00603360178637347,0,3756,2259,0.601437699680511,0,0,,0.592274756685792,0.0922747566857918
2019,1200,Full,0.1,837,492,492,0.0595475241889585,0.587813620071685,0.587813620071685,14056,8323,8369,0.592131474103586,0.595404097894138,-0.00759047782245315,0,837,492,0.587813620071685,0,0,,0.61849674146352,0.11849674146352
2019,1200,Full,0.15,38,26,26,0.0027034718269778,0.68421052631579,0.68421052631579,14056,8323,8369,0.592131474103586,0.595404097894138,0.0888064284216518,0,38,26,0.68421052631579,0,0,,0.677755117543019,0.177755117543019
