horizon,feature_set,model_id,xgb_depth,target_coverage,confidence_cutoff,selected_n,coverage,wins,win_rate,ci95_lower,ci95_upper,flat_rate,baseline_wr,edge,active_weeks
3,NQ_ONLY,ranger,,0.005,0.100728875796398,108,0.00502465804410533,64,0.592592592592593,0.493823943013738,0.686150859659986,0.00925925925925926,0.37962962962963,0.212962962962963,50
3,NQ_ONLY,xgb_d2,2,0.5,0.0257142782211304,10747,0.5,5658,0.526472503954592,0.516980032283968,0.535950625745199,0.0187028938308365,0.497813343258584,0.0286591606960082,53
3,NQ_ONLY,xgb_d2,2,0.2,0.0469422459602356,4299,0.200009304922304,2331,0.54221912072575,0.527185415475352,0.557195410339431,0.0195394277739009,0.48569434752268,0.0565247732030705,53
3,NQ_ONLY,xgb_d2,2,0.1,0.0590600073337555,2150,0.100027914766912,1215,0.565116279069768,0.543851994897255,0.586202798233334,0.0213953488372093,0.487441860465116,0.0776744186046512,53
3,NQ_ONLY,xgb_d2,2,0.05,0.0715212225914001,1075,0.0500139573834559,601,0.55906976744186,0.528797085663609,0.589018251161734,0.0204651162790698,0.491162790697675,0.067906976744186,53
3,NQ_ONLY,xgb_d2,2,0.02,0.0837846595048904,430,0.0200055829533823,246,0.572093023255814,0.523803485387365,0.619383860020906,0.0116279069767442,0.469767441860465,0.102325581395349,53
3,NQ_ONLY,xgb_d2,2,0.01,0.0925631165504455,215,0.0100027914766912,122,0.567441860465116,0.498348794452469,0.634649104374427,0.013953488372093,0.413953488372093,0.153488372093023,53
3,NQ_ONLY,xgb_d2,2,0.005,0.101396803855896,108,0.00502465804410533,56,0.518518518518519,0.420304205483405,0.615691752362034,0.0185185185185185,0.416666666666667,0.101851851851852,49
3,NQ_ONLY,xgb_d3,3,0.5,0.0264827013015747,10747,0.5,5673,0.527868242300177,0.518376828068129,0.537344550053169,0.0192611891690704,0.498743835488974,0.0291244068112032,53
3,NQ_ONLY,xgb_d3,3,0.2,0.04952073097229,4299,0.200009304922304,2330,0.541986508490347,0.526952374162589,0.556963543543886,0.0214003256571296,0.487090020935101,0.0548964875552454,53
3,NQ_ONLY,xgb_d3,3,0.1,0.0643661916255951,2150,0.100027914766912,1225,0.569767441860465,0.548523539278968,0.590820878443134,0.0213953488372093,0.486511627906977,0.0832558139534884,53
