date,event,sourceA,timeA,sourceB,timeB,diff_min
2018-05-14,FOMC Member Bullard Speaks,InvestingA(2011-18),2018-05-14 10:40:00-04:00,InvestingB(scraper),2018-05-14 09:40:00-04:00,60.0
2018-05-15,NY Empire State Manufacturing Index,InvestingA(2011-18),2018-05-15 09:30:00-04:00,InvestingB(scraper),2018-05-15 08:30:00-04:00,60.0
2018-05-15,FOMC Member Williams Speaks,InvestingA(2011-18),2018-05-15 14:00:00-04:00,InvestingB(scraper),2018-05-15 13:00:00-04:00,60.0
2018-05-16,Housing Starts,InvestingA(2011-18),2018-05-16 09:30:00-04:00,InvestingB(scraper),2018-05-16 08:30:00-04:00,60.0
2018-05-16,FOMC Member Bullard Speaks,InvestingA(2011-18),2018-05-16 19:30:00-04:00,InvestingB(scraper),2018-05-16 18:30:00-04:00,60.0
2018-05-17,Initial Jobless Claims,InvestingA(2011-18),2018-05-17 09:30:00-04:00,InvestingB(scraper),2018-05-17 08:30:00-04:00,60.0
2018-05-17,Philadelphia Fed Manufacturing Index,InvestingA(2011-18),2018-05-17 09:30:00-04:00,InvestingB(scraper),2018-05-17 08:30:00-04:00,60.0
2018-05-23,New Home Sales,InvestingA(2011-18),2018-05-23 11:00:00-04:00,InvestingB(scraper),2018-05-23 10:00:00-04:00,60.0
2018-05-23,FOMC Meeting Minutes,InvestingA(2011-18),2018-05-23 15:00:00-04:00,InvestingB(scraper),2018-05-23 14:00:00-04:00,60.0
2018-05-24,Initial Jobless Claims,InvestingA(2011-18),2018-05-24 09:30:00-04:00,InvestingB(scraper),2018-05-24 08:30:00-04:00,60.0
2018-05-25,Fed Chair Powell Speaks,InvestingA(2011-18),2018-05-25 10:20:00-04:00,InvestingB(scraper),2018-05-25 09:20:00-04:00,60.0
2018-05-25,Michigan 5-Year Inflation Expectations,InvestingA(2011-18),2018-05-25 11:00:00-04:00,InvestingB(scraper),2018-05-25 10:00:00-04:00,60.0
2018-05-25,Michigan Consumer Sentiment,InvestingA(2011-18),2018-05-25 11:00:00-04:00,InvestingB(scraper),2018-05-25 10:00:00-04:00,60.0
2018-05-29,FOMC Member Bullard Speaks,InvestingA(2011-18),2018-05-29 01:40:00-04:00,InvestingB(scraper),2018-05-29 00:40:00-04:00,60.0
2018-05-29,CB Consumer Confidence,InvestingA(2011-18),2018-05-29 11:00:00-04:00,InvestingB(scraper),2018-05-29 10:00:00-04:00,60.0
2018-05-30,ADP Nonfarm Employment Change,InvestingA(2011-18),2018-05-30 09:15:00-04:00,InvestingB(scraper),2018-05-30 08:15:00-04:00,60.0
2018-05-31,Initial Jobless Claims,InvestingA(2011-18),2018-05-31 09:30:00-04:00,InvestingB(scraper),2018-05-31 08:30:00-04:00,60.0
2018-06-01,Nonfarm Payrolls,InvestingA(2011-18),2018-06-01 09:30:00-04:00,InvestingB(scraper),2018-06-01 08:30:00-04:00,60.0
2018-06-01,Unemployment Rate,InvestingA(2011-18),2018-06-01 09:30:00-04:00,InvestingB(scraper),2018-06-01 08:30:00-04:00,60.0
2018-06-01,ISM Manufacturing PMI,InvestingA(2011-18),2018-06-01 11:00:00-04:00,InvestingB(scraper),2018-06-01 10:00:00-04:00,60.0
2018-06-05,ISM Non-Manufacturing PMI,InvestingA(2011-18),2018-06-05 11:00:00-04:00,InvestingB(scraper),2018-06-05 10:00:00-04:00,60.0
2018-06-07,Initial Jobless Claims,InvestingA(2011-18),2018-06-07 09:30:00-04:00,InvestingB(scraper),2018-06-07 08:30:00-04:00,60.0
2018-06-11,10-Year Note Auction,InvestingA(2011-18),2018-06-11 14:00:00-04:00,InvestingB(scraper),2018-06-11 13:00:00-04:00,60.0
2018-06-12,30-Year Bond Auction,InvestingA(2011-18),2018-06-12 14:00:00-04:00,InvestingB(scraper),2018-06-12 13:00:00-04:00,60.0
2018-06-13,FOMC Economic Projections,InvestingA(2011-18),2018-06-13 15:00:00-04:00,InvestingB(scraper),2018-06-13 14:00:00-04:00,60.0
2018-06-13,FOMC Statement,InvestingA(2011-18),2018-06-13 15:00:00-04:00,InvestingB(scraper),2018-06-13 14:00:00-04:00,60.0
2018-06-13,Fed Interest Rate Decision,InvestingA(2011-18),2018-06-13 15:00:00-04:00,InvestingB(scraper),2018-06-13 14:00:00-04:00,60.0
2018-06-13,FOMC Press Conference,InvestingA(2011-18),2018-06-13 15:30:00-04:00,InvestingB(scraper),2018-06-13 14:30:00-04:00,60.0
2018-06-14,Initial Jobless Claims,InvestingA(2011-18),2018-06-14 09:30:00-04:00,InvestingB(scraper),2018-06-14 08:30:00-04:00,60.0
2018-06-15,NY Empire State Manufacturing Index,InvestingA(2011-18),2018-06-15 09:30:00-04:00,InvestingB(scraper),2018-06-15 08:30:00-04:00,60.0
2018-06-15,Michigan 5-Year Inflation Expectations,InvestingA(2011-18),2018-06-15 11:00:00-04:00,InvestingB(scraper),2018-06-15 10:00:00-04:00,60.0
2018-06-15,Michigan Consumer Sentiment,InvestingA(2011-18),2018-06-15 11:00:00-04:00,InvestingB(scraper),2018-06-15 10:00:00-04:00,60.0
2018-06-18,FOMC Member Williams Speaks,InvestingA(2011-18),2018-06-18 16:45:00-04:00,InvestingB(scraper),2018-06-18 15:45:00-04:00,60.0
2018-06-19,FOMC Member Bullard Speaks,InvestingA(2011-18),2018-06-19 08:00:00-04:00,InvestingB(scraper),2018-06-19 07:00:00-04:00,60.0
2018-06-19,Housing Starts,InvestingA(2011-18),2018-06-19 09:30:00-04:00,InvestingB(scraper),2018-06-19 08:30:00-04:00,60.0
2018-06-20,Fed Chair Powell Speaks,InvestingA(2011-18),2018-06-20 10:30:00-04:00,InvestingB(scraper),2018-06-20 09:30:00-04:00,60.0
2018-06-21,Initial Jobless Claims,InvestingA(2011-18),2018-06-21 09:30:00-04:00,InvestingB(scraper),2018-06-21 08:30:00-04:00,60.0
2018-06-21,Philadelphia Fed Manufacturing Index,InvestingA(2011-18),2018-06-21 09:30:00-04:00,InvestingB(scraper),2018-06-21 08:30:00-04:00,60.0
2018-06-25,New Home Sales,InvestingA(2011-18),2018-06-25 11:00:00-04:00,InvestingB(scraper),2018-06-25 10:00:00-04:00,60.0
2018-06-26,CB Consumer Confidence,InvestingA(2011-18),2018-06-26 11:00:00-04:00,InvestingB(scraper),2018-06-26 10:00:00-04:00,60.0
2018-06-28,Initial Jobless Claims,InvestingA(2011-18),2018-06-28 09:30:00-04:00,InvestingB(scraper),2018-06-28 08:30:00-04:00,60.0
2018-06-28,FOMC Member Bullard Speaks,InvestingA(2011-18),2018-06-28 11:45:00-04:00,InvestingB(scraper),2018-06-28 10:45:00-04:00,60.0
2018-06-29,Michigan 5-Year Inflation Expectations,InvestingA(2011-18),2018-06-29 11:00:00-04:00,InvestingB(scraper),2018-06-29 10:00:00-04:00,60.0
2018-06-29,Michigan Consumer Sentiment,InvestingA(2011-18),2018-06-29 11:00:00-04:00,InvestingB(scraper),2018-06-29 10:00:00-04:00,60.0
2018-07-02,ISM Manufacturing PMI,InvestingA(2011-18),2018-07-02 11:00:00-04:00,InvestingB(scraper),2018-07-02 10:00:00-04:00,60.0
2018-07-05,ADP Nonfarm Employment Change,InvestingA(2011-18),2018-07-05 09:15:00-04:00,InvestingB(scraper),2018-07-05 08:15:00-04:00,60.0
2018-07-05,Initial Jobless Claims,InvestingA(2011-18),2018-07-05 09:30:00-04:00,InvestingB(scraper),2018-07-05 08:30:00-04:00,60.0
2018-07-05,ISM Non-Manufacturing PMI,InvestingA(2011-18),2018-07-05 11:00:00-04:00,InvestingB(scraper),2018-07-05 10:00:00-04:00,60.0
2018-07-05,FOMC Meeting Minutes,InvestingA(2011-18),2018-07-05 15:00:00-04:00,InvestingB(scraper),2018-07-05 14:00:00-04:00,60.0
2018-07-06,Nonfarm Payrolls,InvestingA(2011-18),2018-07-06 09:30:00-04:00,InvestingB(scraper),2018-07-06 08:30:00-04:00,60.0
2018-07-06,Unemployment Rate,InvestingA(2011-18),2018-07-06 09:30:00-04:00,InvestingB(scraper),2018-07-06 08:30:00-04:00,60.0
2018-07-11,10-Year Note Auction,InvestingA(2011-18),2018-07-11 14:00:00-04:00,InvestingB(scraper),2018-07-11 13:00:00-04:00,60.0
2018-07-11,FOMC Member Williams Speaks,InvestingA(2011-18),2018-07-11 17:30:00-04:00,InvestingB(scraper),2018-07-11 16:30:00-04:00,60.0
2018-07-12,Initial Jobless Claims,InvestingA(2011-18),2018-07-12 09:30:00-04:00,InvestingB(scraper),2018-07-12 08:30:00-04:00,60.0
2018-07-12,30-Year Bond Auction,InvestingA(2011-18),2018-07-12 14:00:00-04:00,InvestingB(scraper),2018-07-12 13:00:00-04:00,60.0
2018-07-13,Michigan 5-Year Inflation Expectations,InvestingA(2011-18),2018-07-13 11:00:00-04:00,InvestingB(scraper),2018-07-13 10:00:00-04:00,60.0
2018-07-13,Michigan Consumer Sentiment,InvestingA(2011-18),2018-07-13 11:00:00-04:00,InvestingB(scraper),2018-07-13 10:00:00-04:00,60.0
2018-07-16,NY Empire State Manufacturing Index,InvestingA(2011-18),2018-07-16 09:30:00-04:00,InvestingB(scraper),2018-07-16 08:30:00-04:00,60.0
2018-07-17,Fed Chair Powell Testifies,InvestingA(2011-18),2018-07-17 11:00:00-04:00,InvestingB(scraper),2018-07-17 10:00:00-04:00,60.0
2018-07-18,Housing Starts,InvestingA(2011-18),2018-07-18 09:30:00-04:00,InvestingB(scraper),2018-07-18 08:30:00-04:00,60.0
2018-07-18,Fed Chair Powell Testifies,InvestingA(2011-18),2018-07-18 11:00:00-04:00,InvestingB(scraper),2018-07-18 10:00:00-04:00,60.0
2018-07-19,Initial Jobless Claims,InvestingA(2011-18),2018-07-19 09:30:00-04:00,InvestingB(scraper),2018-07-19 08:30:00-04:00,60.0
2018-07-19,Philadelphia Fed Manufacturing Index,InvestingA(2011-18),2018-07-19 09:30:00-04:00,InvestingB(scraper),2018-07-19 08:30:00-04:00,60.0
2018-07-25,New Home Sales,InvestingA(2011-18),2018-07-25 11:00:00-04:00,InvestingB(scraper),2018-07-25 10:00:00-04:00,60.0
2018-07-26,Initial Jobless Claims,InvestingA(2011-18),2018-07-26 09:30:00-04:00,InvestingB(scraper),2018-07-26 08:30:00-04:00,60.0
2018-07-27,FOMC Member Bullard Speaks,InvestingA(2011-18),2018-07-27 09:20:00-04:00,InvestingB(scraper),2018-07-27 08:20:00-04:00,60.0
2018-07-27,Michigan 5-Year Inflation Expectations,InvestingA(2011-18),2018-07-27 11:00:00-04:00,InvestingB(scraper),2018-07-27 10:00:00-04:00,60.0
2018-07-27,Michigan Consumer Sentiment,InvestingA(2011-18),2018-07-27 11:00:00-04:00,InvestingB(scraper),2018-07-27 10:00:00-04:00,60.0
2018-07-31,CB Consumer Confidence,InvestingA(2011-18),2018-07-31 11:00:00-04:00,InvestingB(scraper),2018-07-31 10:00:00-04:00,60.0
2018-08-01,ADP Nonfarm Employment Change,InvestingA(2011-18),2018-08-01 09:15:00-04:00,InvestingB(scraper),2018-08-01 08:15:00-04:00,60.0
2018-08-01,ISM Manufacturing PMI,InvestingA(2011-18),2018-08-01 11:00:00-04:00,InvestingB(scraper),2018-08-01 10:00:00-04:00,60.0
