signal_et,signal_date,source_period,p_up,confidence,signal,outcome,correct_direction
2025-01-27T05:30:00Z,2025-01-27,2025 calibration,0.586936891078949,0.086936891078949,BUY,-1,0
2025-01-27T06:45:00Z,2025-01-27,2025 calibration,0.568744659423828,0.0687446594238281,BUY,1,1
2025-01-27T07:15:00Z,2025-01-27,2025 calibration,0.569466531276703,0.0694665312767029,BUY,-1,0
2025-01-27T08:00:00Z,2025-01-27,2025 calibration,0.572273433208466,0.0722734332084656,BUY,1,1
2025-01-27T10:15:00Z,2025-01-27,2025 calibration,0.571721613407135,0.071721613407135,BUY,-1,0
2025-01-28T11:30:00Z,2025-01-28,2025 calibration,0.564070224761963,0.0640702247619629,BUY,-1,0
2025-01-29T05:45:00Z,2025-01-29,2025 calibration,0.584731638431549,0.0847316384315491,BUY,1,1
2025-01-29T13:15:00Z,2025-01-29,2025 calibration,0.561304807662964,0.0613048076629639,BUY,-1,0
2025-01-30T06:30:00Z,2025-01-30,2025 calibration,0.564977705478668,0.0649777054786682,BUY,-1,0
2025-01-31T03:00:00Z,2025-01-30,2025 calibration,0.567273497581482,0.0672734975814819,BUY,1,1
2025-01-31T04:30:00Z,2025-01-30,2025 calibration,0.573207974433899,0.0732079744338989,BUY,-1,0
2025-01-31T04:45:00Z,2025-01-30,2025 calibration,0.572556376457214,0.0725563764572144,BUY,-1,0
2025-01-31T06:30:00Z,2025-01-31,2025 calibration,0.426887214183807,0.0731127858161926,SELL,1,0
2025-01-31T13:00:00Z,2025-01-31,2025 calibration,0.561601221561432,0.0616012215614319,BUY,-1,0
2025-02-03T01:45:00Z,2025-02-02,2025 calibration,0.567130744457245,0.0671307444572449,BUY,1,1
2025-02-04T07:00:00Z,2025-02-04,2025 calibration,0.433337330818176,0.0666626691818237,SELL,-1,1
2025-02-04T07:15:00Z,2025-02-04,2025 calibration,0.434131443500519,0.0658685564994812,SELL,-1,1
2025-02-04T19:00:00Z,2025-02-04,2025 calibration,0.564911365509033,0.0649113655090332,BUY,1,1
2025-02-05T02:00:00Z,2025-02-04,2025 calibration,0.581870019435883,0.0818700194358826,BUY,-1,0
2025-02-05T03:00:00Z,2025-02-04,2025 calibration,0.561932802200317,0.0619328022003174,BUY,1,1
2025-02-05T03:30:00Z,2025-02-04,2025 calibration,0.568878412246704,0.0688784122467041,BUY,1,1
2025-02-05T04:00:00Z,2025-02-04,2025 calibration,0.565928816795349,0.0659288167953491,BUY,1,1
2025-02-05T11:00:00Z,2025-02-05,2025 calibration,0.433370888233185,0.0666291117668152,SELL,1,0
2025-02-06T10:30:00Z,2025-02-06,2025 calibration,0.571969449520111,0.0719694495201111,BUY,1,1
2025-02-06T11:15:00Z,2025-02-06,2025 calibration,0.566205680370331,0.0662056803703308,BUY,-1,0
2025-02-06T13:45:00Z,2025-02-06,2025 calibration,0.562986075878143,0.0629860758781433,BUY,1,1
2025-02-06T19:30:00Z,2025-02-06,2025 calibration,0.563676953315735,0.0636769533157349,BUY,-1,0
2025-02-07T03:15:00Z,2025-02-06,2025 calibration,0.581911146640778,0.0819111466407776,BUY,0,0
2025-02-07T03:45:00Z,2025-02-06,2025 calibration,0.578006625175476,0.0780066251754761,BUY,1,1
2025-02-07T04:30:00Z,2025-02-06,2025 calibration,0.587993264198303,0.0879932641983032,BUY,-1,0
2025-02-07T05:45:00Z,2025-02-07,2025 calibration,0.565406262874603,0.0654062628746033,BUY,-1,0
2025-02-07T06:15:00Z,2025-02-07,2025 calibration,0.564163565635681,0.0641635656356812,BUY,1,1
2025-02-07T08:00:00Z,2025-02-07,2025 calibration,0.562001168727875,0.0620011687278748,BUY,1,1
2025-02-10T06:30:00Z,2025-02-10,2025 calibration,0.572902858257294,0.0729028582572937,BUY,-1,0
2025-02-10T19:45:00Z,2025-02-10,2025 calibration,0.566290557384491,0.066290557384491,BUY,-1,0
2025-02-11T00:15:00Z,2025-02-10,2025 calibration,0.566979050636292,0.0669790506362915,BUY,1,1
2025-02-11T01:30:00Z,2025-02-10,2025 calibration,0.58510035276413,0.0851003527641296,BUY,1,1
2025-02-11T02:00:00Z,2025-02-10,2025 calibration,0.560745000839233,0.0607450008392334,BUY,-1,0
2025-02-11T06:15:00Z,2025-02-11,2025 calibration,0.567360401153565,0.0673604011535645,BUY,-1,0
2025-02-11T08:00:00Z,2025-02-11,2025 calibration,0.572612822055817,0.0726128220558167,BUY,1,1
2025-02-11T17:00:00Z,2025-02-11,2025 calibration,0.563266336917877,0.0632663369178772,BUY,-1,0
2025-02-12T03:15:00Z,2025-02-11,2025 calibration,0.57101172208786,0.0710117220878601,BUY,1,1
2025-02-12T11:00:00Z,2025-02-12,2025 calibration,0.436339437961578,0.0636605620384216,SELL,-1,1
2025-02-13T05:00:00Z,2025-02-13,2025 calibration,0.573985517024994,0.0739855170249939,BUY,1,1
2025-02-13T07:00:00Z,2025-02-13,2025 calibration,0.565566003322601,0.0655660033226013,BUY,-1,0
2025-02-13T07:45:00Z,2025-02-13,2025 calibration,0.56291389465332,0.0629138946533203,BUY,-1,0
2025-02-14T11:15:00Z,2025-02-14,2025 calibration,0.565952956676483,0.0659529566764832,BUY,-1,0
2025-02-14T11:30:00Z,2025-02-14,2025 calibration,0.572264611721039,0.0722646117210388,BUY,1,1
