candidate_id,fold,full_year,horizon,feature_set,model_id,xgb_depth,target_coverage,confidence_cutoff,base_side,selected_n,coverage,wins,win_rate,base_wins,baseline_wr,edge,flat_rate,active_weeks,unique_days,top_day_share,top5_day_share,nonoverlap_n,nonoverlap_fraction,long_n,long_wins,long_wr,short_n,short_wins,short_wr,up_only_wr,down_only_wr,aggregate_rank
7__NQ_ES__logit__0.1000,2026_YTD,FALSE,7,NQ_ES,logit,,0.1,0.0573459154402508,1,368,0.0838650865998177,188,0.510869565217391,205,0.557065217391304,-0.046195652173913,0.0135869565217391,11,55,0.0407608695652174,0.184782608695652,368,1,280,153,0.546428571428571,88,35,0.397727272727273,0.557065217391304,0.429347826086957,18
1__NQ_ONLY__xgb_d2__0.1000,2026_YTD,FALSE,1,NQ_ONLY,xgb_d2,2,0.1,0.0628209710121155,1,464,0.105694760820046,253,0.545258620689655,234,0.504310344827586,0.040948275862069,0.0193965517241379,11,59,0.0344827586206897,0.148706896551724,464,1,327,176,0.53822629969419,137,77,0.562043795620438,0.504310344827586,0.476293103448276,19
5__NQ_ONLY__ranger__0.0500,2026_YTD,FALSE,5,NQ_ONLY,ranger,,0.05,0.0569851424184161,1,190,0.0432900432900433,96,0.505263157894737,101,0.531578947368421,-0.0263157894736842,0.0157894736842105,11,54,0.0473684210526316,0.194736842105263,190,1,155,81,0.52258064516129,35,15,0.428571428571429,0.531578947368421,0.452631578947368,20
7__NQ_ES__xgb_d2__0.0200,2026_YTD,FALSE,7,NQ_ES,xgb_d2,2,0.02,0.0699753284454346,1,81,0.0184594348222425,38,0.469135802469136,36,0.444444444444444,0.0246913580246914,0.0246913580246914,10,41,0.0864197530864198,0.283950617283951,81,1,77,35,0.454545454545455,4,3,0.75,0.444444444444444,0.530864197530864,21
5__NQ_ES__logit__0.1000,2026_YTD,FALSE,5,NQ_ES,logit,,0.1,0.0560888329123689,1,413,0.0940988835725678,233,0.564164648910412,240,0.581113801452784,-0.0169491525423729,0.00726392251815981,11,54,0.036319612590799,0.174334140435835,413,1,342,201,0.587719298245614,71,32,0.450704225352113,0.581113801452784,0.411622276029056,22
5__NQ_ES__ranger__0.1000,2026_YTD,FALSE,5,NQ_ES,ranger,,0.1,0.0465117689509636,1,447,0.101845522898154,251,0.561521252796421,244,0.54586129753915,0.0156599552572707,0.0111856823266219,11,62,0.0380313199105145,0.1834451901566,447,1,380,214,0.563157894736842,67,37,0.552238805970149,0.54586129753915,0.442953020134228,23
5__NQ_ES__xgb_d5__0.0200,2026_YTD,FALSE,5,NQ_ES,xgb_d5,5,0.02,0.0916835719347,1,82,0.0186830713146503,47,0.573170731707317,50,0.609756097560976,-0.0365853658536585,0.0121951219512195,11,40,0.0609756097560976,0.268292682926829,82,1,55,35,0.636363636363636,27,12,0.444444444444444,0.609756097560976,0.378048780487805,24
60__NQ_ONLY__ranger__0.2000,2026_YTD,FALSE,60,NQ_ONLY,ranger,,0.2,0.0393993721794745,1,872,0.208812260536399,432,0.495412844036697,435,0.498853211009174,-0.00344036697247706,0.00114678899082569,11,56,0.0401376146788991,0.186926605504587,340,0.389908256880734,859,427,0.49708963911525,13,5,0.384615384615385,0.498853211009174,0.5,25
1__NQ_ONLY__logit__0.1000,2026_YTD,FALSE,1,NQ_ONLY,logit,,0.1,0.0694119419332965,1,519,0.118223234624146,271,0.522157996146436,268,0.516377649325626,0.00578034682080925,0.0115606936416185,11,60,0.046242774566474,0.177263969171484,519,1,401,211,0.526184538653367,118,60,0.508474576271186,0.516377649325626,0.472061657032755,26
5__NQ_ES__xgb_d3__0.0500,2026_YTD,FALSE,5,NQ_ES,xgb_d3,3,0.05,0.0623750135302543,1,204,0.0464798359535202,105,0.514705882352941,103,0.504901960784314,0.00980392156862745,0.00980392156862745,11,56,0.0588235294117647,0.235294117647059,204,1,156,80,0.512820512820513,48,25,0.520833333333333,0.504901960784314,0.485294117647059,27
1__NQ_ES__xgb_d3__0.1000,2026_YTD,FALSE,1,NQ_ES,xgb_d3,3,0.1,0.0667016386985779,1,451,0.102733485193622,236,0.523281596452328,218,0.483370288248337,0.0399113082039911,0.024390243902439,11,59,0.0332594235033259,0.150776053215078,451,1,296,152,0.513513513513514,155,84,0.541935483870968,0.483370288248337,0.492239467849224,28
7__NQ_ONLY__xgb_d2__0.0100,2026_YTD,FALSE,7,NQ_ONLY,xgb_d2,2,0.01,0.0768485844135285,1,40,0.00911577028258888,22,0.55,23,0.575,-0.025,0,10,31,0.075,0.3,40,1,39,22,0.564102564102564,1,0,0,0.575,0.425,29
7__NQ_ONLY__xgb_d4__0.0500,2026_YTD,FALSE,7,NQ_ONLY,xgb_d4,4,0.05,0.0716093927621841,1,212,0.0483135824977211,105,0.495283018867925,109,0.514150943396226,-0.0188679245283019,0.0141509433962264,11,60,0.0424528301886792,0.212264150943396,212,1,154,78,0.506493506493507,58,27,0.46551724137931,0.514150943396226,0.471698113207547,30
5__NQ_ES__logit__0.0500,2026_YTD,FALSE,5,NQ_ES,logit,,0.05,0.0670528378577032,1,199,0.0453406242879927,115,0.577889447236181,119,0.597989949748744,-0.0201005025125628,0.0150753768844221,11,50,0.0552763819095477,0.21105527638191,199,1,175,105,0.6,24,10,0.416666666666667,0.597989949748744,0.386934673366834,31
5__NQ_ES__xgb_d2__0.1000,2026_YTD,FALSE,5,NQ_ES,xgb_d2,2,0.1,0.0478143006563187,1,452,0.102984734563682,249,0.550884955752212,253,0.559734513274336,-0.00884955752212389,0.00884955752212389,11,62,0.0420353982300885,0.176991150442478,452,1,370,210,0.567567567567568,82,39,0.475609756097561,0.559734513274336,0.43141592920354,32
7__NQ_ONLY__xgb_d2__0.0200,2026_YTD,FALSE,7,NQ_ONLY,xgb_d2,2,0.02,0.0708590626716613,1,83,0.0189152233363719,41,0.493975903614458,42,0.506024096385542,-0.0120481927710843,0.0240963855421687,10,45,0.072289156626506,0.253012048192771,83,1,80,40,0.5,3,1,0.333333333333333,0.506024096385542,0.469879518072289,33
7__NQ_ONLY__xgb_d2__0.1000,2026_YTD,FALSE,7,NQ_ONLY,xgb_d2,2,0.1,0.050739586353302,1,427,0.0973108477666363,211,0.494145199063232,225,0.526932084309134,-0.0327868852459016,0.0117096018735363,11,62,0.0351288056206089,0.159250585480094,427,1,355,182,0.512676056338028,72,29,0.402777777777778,0.526932084309134,0.46135831381733,34
