candidate_id,horizon,feature_set,model_id,xgb_depth,target_coverage,selected_n,wins,overall_wr,base_wins,overall_baseline_wr,overall_edge,total_nonoverlap_n,nonoverlap_fraction,avg_active_weeks_full,min_active_weeks_full,folds_over_50,full_years_over_50,min_full_year_wr,max_full_year_wr,max_top_day_share_all,max_top5_day_share_all,max_top5_day_share_full,long_n,long_wins,long_wr,short_n,short_wins,short_wr,mean_actual_coverage,temporal_ok,persistence_ok,wr_block_lower,wr_block_upper,edge_block_lower,edge_block_upper,statistically_robust
3__NQ_ES__xgb_d2__0.0050,3,NQ_ES,xgb_d2,2,0.005,331,176,0.531722054380665,164,0.495468277945619,0.0362537764350453,331,1,41.6666666666667,40,4,3,0.518518518518519,0.5390625,0.181818181818182,0.636363636363636,0.142857142857143,215,113,0.525581395348837,116,63,0.543103448275862,0.00433942508301328,TRUE,TRUE,0.476451720071873,0.588243308222472,-0.0303953934937978,0.106708173472184,FALSE
30__NQ_ONLY__ranger__0.0100,30,NQ_ONLY,ranger,,0.01,582,307,0.527491408934708,308,0.529209621993127,-0.00171821305841924,483,0.829896907216495,47,45,4,3,0.513157894736842,0.545945945945946,0.3,0.733333333333333,0.232432432432432,524,279,0.532442748091603,58,28,0.482758620689655,0.00834184938201183,TRUE,TRUE,0.476030627126884,0.575902315375303,-0.029523028563619,0.02389094182895,FALSE
5__NQ_ONLY__xgb_d5__0.0050,5,NQ_ONLY,xgb_d5,5,0.005,307,162,0.527687296416938,152,0.495114006514658,0.0325732899022801,307,1,44.6666666666667,40,2,2,0.455357142857143,0.579710144927536,0.117647058823529,0.529411764705882,0.159420289855072,167,88,0.526946107784431,140,74,0.528571428571429,0.00432638935762338,TRUE,TRUE,0.474809446457578,0.576015005730112,-0.0385759061894721,0.104592363261094,FALSE
7__NQ_ES__xgb_d3__0.0050,7,NQ_ES,xgb_d3,3,0.005,331,173,0.522658610271903,152,0.459214501510574,0.0634441087613293,331,1,42,37,3,3,0.511904761904762,0.536842105263158,0.15,0.45,0.157894736842105,221,109,0.493212669683258,110,64,0.581818181818182,0.00474062192724622,TRUE,TRUE,0.473980833586857,0.571428571428571,0.00609709763511009,0.127349087732919,FALSE
1__NQ_ES__xgb_d3__0.0050,1,NQ_ES,xgb_d3,3,0.005,337,180,0.534124629080119,153,0.454005934718101,0.0801186943620178,337,1,43,40,2,2,0.456896551724138,0.653333333333333,0.0857142857142857,0.342857142857143,0.162162162162162,113,58,0.513274336283186,224,122,0.544642857142857,0.00548591811482403,TRUE,TRUE,0.473684210526316,0.587721656291266,-0.018462962962963,0.167213684509173,FALSE
5__NQ_ES__xgb_d3__0.0050,5,NQ_ES,xgb_d3,3,0.005,350,184,0.525714285714286,179,0.511428571428572,0.0142857142857143,350,1,44.6666666666667,44,3,2,0.472727272727273,0.583333333333333,0.0952380952380952,0.428571428571429,0.148148148148148,216,115,0.532407407407407,134,69,0.514925373134328,0.00501071299086403,TRUE,TRUE,0.473495410994198,0.578527198717158,-0.0490556286040175,0.0798846153846154,FALSE
5__NQ_ES__xgb_d4__0.0100,5,NQ_ES,xgb_d4,4,0.01,654,333,0.509174311926605,323,0.49388379204893,0.0152905198776758,654,1,51,50,2,2,0.474418604651163,0.551020408163265,0.133333333333333,0.5,0.0985915492957746,427,215,0.503512880562061,227,118,0.519823788546256,0.00894255736054244,TRUE,TRUE,0.473249096487752,0.546350159426892,-0.0258882483904819,0.0600037593984962,FALSE
15__NQ_ES__ranger__0.0050,15,NQ_ES,ranger,,0.005,460,237,0.515217391304348,253,0.55,-0.0347826086956522,460,1,47.6666666666667,46,3,3,0.506493506493507,0.553398058252427,0.153846153846154,0.461538461538462,0.145631067961165,404,217,0.537128712871287,56,20,0.357142857142857,0.00600983556287006,TRUE,TRUE,0.473094170403588,0.553648068669528,-0.064793886556883,-0.00443361516532248,FALSE
5__NQ_ONLY__logit__0.0050,5,NQ_ONLY,logit,,0.005,300,159,0.53,166,0.553333333333333,-0.0233333333333333,300,1,40.6666666666667,33,4,3,0.517857142857143,0.571428571428571,0.133333333333333,0.466666666666667,0.290076335877863,171,99,0.578947368421053,129,60,0.465116279069768,0.00414925485037589,TRUE,TRUE,0.472419693987115,0.589131840773981,-0.0845483729205968,0.0431690081006061,FALSE
3__NQ_ES__xgb_d3__0.0050,3,NQ_ES,xgb_d3,3,0.005,302,159,0.526490066225166,153,0.506622516556291,0.0198675496688742,302,1,44,42,2,2,0.5,0.575471698113208,0.117647058823529,0.352941176470588,0.123595505617978,137,75,0.547445255474453,165,84,0.509090909090909,0.00427099900293445,TRUE,TRUE,0.472296266183001,0.583068675352877,-0.059425808801616,0.101036355355781,FALSE
