candidate_id,horizon,feature_set,model_id,xgb_depth,target_coverage,selected_n,coverage,win_rate,baseline_wr,edge,active_weeks,unique_days,top_day_share,top5_day_share,nonoverlap_n,long_n,long_wr,short_n,short_wr,viewed_in_v5
1__NQ_ES__logit__0.0100,1,NQ_ES,logit,,0.01,18,0.0041002277904328,0.388888888888889,0.444444444444444,-0.0555555555555556,8,13,0.166666666666667,0.555555555555556,18,13,0.384615384615385,5,0.4,TRUE
1__NQ_ES__logit__0.0050,1,NQ_ES,logit,,0.005,8,0.00182232346241458,0.625,0.75,-0.125,5,6,0.25,0.875,8,5,0.8,3,0.333333333333333,TRUE
1__NQ_ES__ranger__0.5000,1,NQ_ES,ranger,,0.5,2240,0.510250569476082,0.504017857142857,0.485267857142857,0.01875,11,62,0.0241071428571429,0.116517857142857,2240,1586,0.496847414880202,654,0.521406727828746,TRUE
1__NQ_ES__ranger__0.2000,1,NQ_ES,ranger,,0.2,931,0.212072892938497,0.506981740064447,0.489795918367347,0.0171858216970999,11,62,0.0311493018259936,0.146079484425349,931,672,0.502976190476191,259,0.517374517374517,TRUE
1__NQ_ES__ranger__0.1000,1,NQ_ES,ranger,,0.1,454,0.103416856492027,0.504405286343612,0.480176211453745,0.0242290748898678,11,62,0.0330396475770925,0.162995594713656,454,302,0.493377483443709,152,0.526315789473684,TRUE
1__NQ_ES__ranger__0.0500,1,NQ_ES,ranger,,0.05,210,0.0478359908883827,0.523809523809524,0.466666666666667,0.0571428571428571,11,57,0.0428571428571429,0.2,210,119,0.504201680672269,91,0.54945054945055,TRUE
1__NQ_ES__ranger__0.0200,1,NQ_ES,ranger,,0.02,80,0.0182232346241458,0.5625,0.3875,0.175,11,41,0.0875,0.2875,80,31,0.451612903225806,49,0.63265306122449,TRUE
1__NQ_ES__ranger__0.0100,1,NQ_ES,ranger,,0.01,39,0.00888382687927107,0.58974358974359,0.41025641025641,0.17948717948718,11,27,0.128205128205128,0.358974358974359,39,8,0.5,31,0.612903225806452,TRUE
1__NQ_ES__ranger__0.0050,1,NQ_ES,ranger,,0.005,28,0.00637813211845103,0.642857142857143,0.464285714285714,0.178571428571429,11,21,0.107142857142857,0.428571428571429,28,3,1,25,0.6,TRUE
1__NQ_ES__xgb_d2__0.5000,1,NQ_ES,xgb_d2,2,0.5,2188,0.498405466970387,0.51599634369287,0.494972577696527,0.0210237659963437,11,62,0.0228519195612431,0.112888482632541,2188,1514,0.512549537648613,674,0.523738872403561,TRUE
1__NQ_ES__xgb_d2__0.2000,1,NQ_ES,xgb_d2,2,0.2,934,0.212756264236902,0.528907922912206,0.494646680942184,0.0342612419700214,11,61,0.0289079229122056,0.134903640256959,934,676,0.520710059171598,258,0.550387596899225,TRUE
1__NQ_ES__xgb_d2__0.1000,1,NQ_ES,xgb_d2,2,0.1,458,0.104328018223235,0.526200873362445,0.497816593886463,0.0283842794759825,11,59,0.037117903930131,0.15938864628821,458,317,0.523659305993691,141,0.531914893617021,TRUE
1__NQ_ES__xgb_d2__0.0500,1,NQ_ES,xgb_d2,2,0.05,254,0.0578587699316629,0.492125984251969,0.468503937007874,0.0236220472440945,11,55,0.0393700787401575,0.169291338582677,254,163,0.47239263803681,91,0.527472527472528,TRUE
1__NQ_ES__xgb_d2__0.0200,1,NQ_ES,xgb_d2,2,0.02,90,0.020501138952164,0.511111111111111,0.477777777777778,0.0333333333333333,11,42,0.0555555555555556,0.255555555555556,90,43,0.488372093023256,47,0.531914893617021,TRUE
1__NQ_ES__xgb_d2__0.0100,1,NQ_ES,xgb_d2,2,0.01,45,0.010250569476082,0.533333333333333,0.466666666666667,0.0666666666666667,11,27,0.0666666666666667,0.333333333333333,45,16,0.5,29,0.551724137931035,TRUE
1__NQ_ES__xgb_d2__0.0050,1,NQ_ES,xgb_d2,2,0.005,26,0.00592255125284738,0.461538461538462,0.5,-0.0384615384615385,10,20,0.115384615384615,0.423076923076923,26,3,0.333333333333333,23,0.478260869565217,TRUE
1__NQ_ES__xgb_d3__0.5000,1,NQ_ES,xgb_d3,3,0.5,2183,0.497266514806378,0.522217132386624,0.485112230874943,0.0371049015116812,11,62,0.0238204306000916,0.114979386165827,2183,1503,0.510312707917498,680,0.548529411764706,TRUE
1__NQ_ES__xgb_d3__0.2000,1,NQ_ES,xgb_d3,3,0.2,893,0.203416856492027,0.51511758118701,0.474804031354983,0.0403135498320269,11,60,0.0302351623740202,0.138857782754759,893,620,0.5,273,0.54945054945055,TRUE
1__NQ_ES__xgb_d3__0.1000,1,NQ_ES,xgb_d3,3,0.1,451,0.102733485193622,0.523281596452328,0.483370288248337,0.0399113082039911,11,59,0.0332594235033259,0.150776053215078,451,296,0.513513513513514,155,0.541935483870968,TRUE
1__NQ_ES__xgb_d3__0.0500,1,NQ_ES,xgb_d3,3,0.05,222,0.0505694760820046,0.490990990990991,0.441441441441441,0.0495495495495496,11,54,0.0405405405405405,0.171171171171171,222,127,0.448818897637795,95,0.547368421052632,TRUE
1__NQ_ES__xgb_d3__0.0200,1,NQ_ES,xgb_d3,3,0.02,96,0.0218678815489749,0.541666666666667,0.479166666666667,0.0625,11,42,0.0729166666666667,0.291666666666667,96,42,0.523809523809524,54,0.555555555555556,TRUE
1__NQ_ES__xgb_d3__0.0100,1,NQ_ES,xgb_d3,3,0.01,52,0.0118451025056948,0.5,0.442307692307692,0.0576923076923077,10,29,0.0769230769230769,0.346153846153846,52,19,0.421052631578947,33,0.545454545454545,TRUE
1__NQ_ES__xgb_d3__0.0050,1,NQ_ES,xgb_d3,3,0.005,35,0.00797266514806378,0.485714285714286,0.371428571428571,0.114285714285714,10,24,0.0857142857142857,0.342857142857143,35,11,0.272727272727273,24,0.583333333333333,TRUE
1__NQ_ES__xgb_d4__0.5000,1,NQ_ES,xgb_d4,4,0.5,2176,0.495671981776765,0.517922794117647,0.485294117647059,0.0326286764705882,11,62,0.0248161764705882,0.120404411764706,2176,1480,0.507432432432433,696,0.540229885057471,TRUE
1__NQ_ES__xgb_d4__0.2000,1,NQ_ES,xgb_d4,4,0.2,875,0.199316628701595,0.504,0.467428571428571,0.0365714285714286,11,62,0.0297142857142857,0.139428571428571,875,594,0.484848484848485,281,0.544483985765125,TRUE
1__NQ_ES__xgb_d4__0.1000,1,NQ_ES,xgb_d4,4,0.1,447,0.101822323462415,0.516778523489933,0.47427293064877,0.0425055928411633,11,60,0.0313199105145414,0.152125279642058,447,291,0.501718213058419,156,0.544871794871795,TRUE
1__NQ_ES__xgb_d4__0.0500,1,NQ_ES,xgb_d4,4,0.05,211,0.0480637813211845,0.502369668246446,0.478672985781991,0.023696682464455,11,55,0.042654028436019,0.18957345971564,211,115,0.504347826086957,96,0.5,TRUE
1__NQ_ES__xgb_d4__0.0200,1,NQ_ES,xgb_d4,4,0.02,90,0.020501138952164,0.555555555555556,0.488888888888889,0.0666666666666667,11,38,0.0888888888888889,0.322222222222222,90,42,0.547619047619048,48,0.5625,TRUE
1__NQ_ES__xgb_d4__0.0100,1,NQ_ES,xgb_d4,4,0.01,49,0.0111617312072893,0.571428571428571,0.469387755102041,0.102040816326531,10,29,0.0816326530612245,0.326530612244898,49,22,0.545454545454545,27,0.592592592592593,TRUE
1__NQ_ES__xgb_d4__0.0050,1,NQ_ES,xgb_d4,4,0.005,25,0.00569476082004556,0.44,0.52,-0.08,9,19,0.12,0.44,25,9,0.444444444444444,16,0.4375,TRUE
1__NQ_ES__xgb_d5__0.5000,1,NQ_ES,xgb_d5,5,0.5,2199,0.500911161731207,0.512050932241928,0.485220554797635,0.0268303774442929,11,62,0.0245566166439291,0.118235561618918,2199,1493,0.503014065639652,706,0.531161473087819,TRUE
1__NQ_ES__xgb_d5__0.2000,1,NQ_ES,xgb_d5,5,0.2,891,0.202961275626424,0.511784511784512,0.469135802469136,0.042648709315376,11,62,0.0336700336700337,0.142536475869809,891,609,0.490968801313629,282,0.556737588652482,TRUE
1__NQ_ES__xgb_d5__0.1000,1,NQ_ES,xgb_d5,5,0.1,446,0.101594533029613,0.522421524663677,0.466367713004484,0.0560538116591928,11,60,0.031390134529148,0.150224215246637,446,293,0.498293515358362,153,0.568627450980392,TRUE
