candidate_id,fold,full_year,horizon,feature_set,model_id,xgb_depth,target_coverage,confidence_cutoff,base_side,selected_n,coverage,wins,win_rate,base_wins,baseline_wr,edge,flat_rate,active_weeks,unique_days,top_day_share,top5_day_share,nonoverlap_n,nonoverlap_fraction,long_n,long_wins,long_wr,short_n,short_wins,short_wr,up_only_wr,down_only_wr
10__NQ_ONLY__ranger__0.0200,2023,TRUE,10,NQ_ONLY,ranger,,0.02,0.0645395259683344,1,628,0.0294076328728635,336,0.535031847133758,327,0.520700636942675,0.0143312101910828,0.00636942675159236,52,250,0.0143312101910828,0.0557324840764331,628,1,593,314,0.529510961214165,35,22,0.628571428571429,0.520700636942675,0.472929936305733
10__NQ_ONLY__ranger__0.0100,2023,TRUE,10,NQ_ONLY,ranger,,0.01,0.0704018812835727,1,282,0.0132053383282604,154,0.546099290780142,144,0.51063829787234,0.0354609929078014,0.00354609929078014,52,177,0.0212765957446809,0.0815602836879433,282,1,268,142,0.529850746268657,14,12,0.857142857142857,0.51063829787234,0.48581560283688
10__NQ_ONLY__ranger__0.0050,2023,TRUE,10,NQ_ONLY,ranger,,0.005,0.0756385662700244,1,120,0.00561929290564271,64,0.533333333333333,59,0.491666666666667,0.0416666666666667,0.00833333333333333,49,100,0.025,0.1,120,1,115,59,0.51304347826087,5,5,1,0.491666666666667,0.5
10__NQ_ONLY__xgb_d2__0.5000,2023,TRUE,10,NQ_ONLY,xgb_d2,2,0.5,0.0206677913665771,1,10764,0.504050573636151,5637,0.523690078037904,5433,0.504738015607581,0.0189520624303233,0.0130992196209588,52,310,0.00557413600891862,0.0262913415087328,10764,1,8899,4620,0.519159456118665,1865,1017,0.545308310991957,0.504738015607581,0.48216276477146
10__NQ_ONLY__xgb_d2__0.2000,2023,TRUE,10,NQ_ONLY,xgb_d2,2,0.2,0.0401216149330139,1,4203,0.196815734020136,2241,0.533190578158458,2158,0.513442778967404,0.019747799191054,0.0107066381156317,52,309,0.00761360932667143,0.0359267190102308,4203,1,3728,1967,0.527628755364807,475,274,0.576842105263158,0.513442778967404,0.475850582916964
10__NQ_ONLY__xgb_d2__0.1000,2023,TRUE,10,NQ_ONLY,xgb_d2,2,0.1,0.0515974760055542,1,2114,0.0989932100210724,1147,0.542573320719016,1117,0.528382213812677,0.0141911069063387,0.00614947965941343,52,302,0.00993377483443709,0.0454115421002838,2114,1,1958,1055,0.538815117466803,156,92,0.58974358974359,0.528382213812677,0.465468306527909
10__NQ_ONLY__xgb_d2__0.0500,2023,TRUE,10,NQ_ONLY,xgb_d2,2,0.05,0.0602044463157654,1,1094,0.0512292203231093,610,0.557586837294333,595,0.543875685557587,0.0137111517367459,0.00639853747714808,52,278,0.0173674588665448,0.0594149908592322,1094,1,1018,565,0.555009823182711,76,45,0.592105263157895,0.543875685557587,0.449725776965265
10__NQ_ONLY__xgb_d2__0.0200,2023,TRUE,10,NQ_ONLY,xgb_d2,2,0.02,0.0683300673961639,1,437,0.0204635916647155,242,0.553775743707094,233,0.533180778032037,0.0205949656750572,0.0045766590389016,52,212,0.0274599542334096,0.0846681922196796,437,1,402,220,0.54726368159204,35,22,0.628571428571429,0.533180778032037,0.462242562929062
10__NQ_ONLY__xgb_d2__0.0100,2023,TRUE,10,NQ_ONLY,xgb_d2,2,0.01,0.0743863224983215,1,185,0.00866307656286584,95,0.513513513513514,90,0.486486486486487,0.027027027027027,0,52,126,0.0378378378378378,0.12972972972973,185,1,164,82,0.5,21,13,0.619047619047619,0.486486486486487,0.513513513513514
10__NQ_ONLY__xgb_d2__0.0050,2023,TRUE,10,NQ_ONLY,xgb_d2,2,0.005,0.0801542639732358,1,64,0.00299695621634278,32,0.5,29,0.453125,0.046875,0,35,48,0.09375,0.21875,64,1,51,24,0.470588235294118,13,8,0.615384615384615,0.453125,0.546875
10__NQ_ONLY__xgb_d3__0.5000,2023,TRUE,10,NQ_ONLY,xgb_d3,3,0.5,0.0230942666530609,1,10513,0.492296885975182,5543,0.52725197374679,5317,0.505754779796443,0.0214971939503472,0.0123656425378103,52,310,0.00561209930562161,0.0267288119471131,10513,1,8566,4472,0.522063973850105,1947,1071,0.550077041602465,0.505754779796443,0.481879577665747
10__NQ_ONLY__xgb_d3__0.2000,2023,TRUE,10,NQ_ONLY,xgb_d3,3,0.2,0.0438109934329987,1,4071,0.190634511823929,2191,0.538197003193319,2095,0.514615573569148,0.023581429624171,0.0105625153524932,52,307,0.00736919675755343,0.0356177843281749,4071,1,3504,1865,0.532248858447489,567,326,0.574955908289242,0.514615573569148,0.474821911078359
10__NQ_ONLY__xgb_d3__0.1000,2023,TRUE,10,NQ_ONLY,xgb_d3,3,0.1,0.0558961629867554,1,2051,0.0960430812456099,1120,0.546075085324232,1057,0.515358361774744,0.0307167235494881,0.0107264748902974,52,296,0.0112140419307655,0.0463188688444661,2051,1,1819,976,0.536558548653106,232,144,0.620689655172414,0.515358361774744,0.473915163334959
10__NQ_ONLY__xgb_d3__0.0500,2023,TRUE,10,NQ_ONLY,xgb_d3,3,0.05,0.0654056370258331,1,1063,0.0497775696558183,565,0.531514581373471,535,0.503292568203198,0.0282220131702728,0.00658513640639699,52,280,0.013170272812794,0.0545625587958608,1063,1,972,506,0.520576131687243,91,59,0.648351648351648,0.503292568203198,0.490122295390405
10__NQ_ONLY__xgb_d3__0.0200,2023,TRUE,10,NQ_ONLY,xgb_d3,3,0.02,0.0763606071472168,1,418,0.0195738702879888,223,0.533492822966507,208,0.497607655502392,0.0358851674641148,0.00478468899521531,52,200,0.0215311004784689,0.0837320574162679,418,1,381,197,0.517060367454068,37,26,0.702702702702703,0.497607655502392,0.497607655502392
10__NQ_ONLY__xgb_d3__0.0100,2023,TRUE,10,NQ_ONLY,xgb_d3,3,0.01,0.0832262039184571,1,201,0.00941231561695153,105,0.522388059701493,92,0.45771144278607,0.0646766169154229,0,51,127,0.0348258706467662,0.114427860696517,201,1,180,88,0.488888888888889,21,17,0.80952380952381,0.45771144278607,0.54228855721393
10__NQ_ONLY__xgb_d3__0.0050,2023,TRUE,10,NQ_ONLY,xgb_d3,3,0.005,0.0894159615039825,1,93,0.0043549520018731,50,0.537634408602151,45,0.483870967741936,0.0537634408602151,0,43,76,0.0430107526881721,0.139784946236559,93,1,86,44,0.511627906976744,7,6,0.857142857142857,0.483870967741936,0.516129032258065
10__NQ_ONLY__xgb_d4__0.5000,2023,TRUE,10,NQ_ONLY,xgb_d4,4,0.5,0.0257611274719238,1,10198,0.477546242097869,5384,0.527946656207099,5144,0.504412629927437,0.0235340262796627,0.0138262404393018,52,310,0.00558933124141989,0.0269660717787802,10198,1,8184,4276,0.522482893450635,2014,1108,0.550148957298908,0.504412629927437,0.481761129633261
10__NQ_ONLY__xgb_d4__0.2000,2023,TRUE,10,NQ_ONLY,xgb_d4,4,0.2,0.0480353236198425,1,3896,0.182439709669867,2082,0.534394250513347,2016,0.517453798767967,0.0169404517453799,0.010523613963039,52,309,0.00821355236139631,0.0390143737166324,3896,1,3350,1781,0.531641791044776,546,301,0.551282051282051,0.517453798767967,0.472022587268994
10__NQ_ONLY__xgb_d4__0.1000,2023,TRUE,10,NQ_ONLY,xgb_d4,4,0.1,0.0614079833030701,1,1887,0.0883633809412316,1006,0.533121356650768,970,0.514043455219926,0.0190779014308426,0.00794912559618442,52,294,0.0111287758346582,0.0535241123476418,1887,1,1650,871,0.527878787878788,237,135,0.569620253164557,0.514043455219926,0.47800741918389
10__NQ_ONLY__xgb_d4__0.0500,2023,TRUE,10,NQ_ONLY,xgb_d4,4,0.05,0.0728773772716522,1,914,0.0428002809646453,483,0.528446389496718,446,0.487964989059081,0.0404814004376368,0.00765864332603939,52,266,0.0185995623632385,0.0765864332603939,914,1,789,403,0.510773130544994,125,80,0.64,0.487964989059081,0.50437636761488
10__NQ_ONLY__xgb_d4__0.0200,2023,TRUE,10,NQ_ONLY,xgb_d4,4,0.02,0.086916971206665,1,328,0.0153594006087567,175,0.533536585365854,158,0.481707317073171,0.0518292682926829,0.00304878048780488,52,174,0.0274390243902439,0.106707317073171,328,1,274,140,0.510948905109489,54,35,0.648148148148148,0.481707317073171,0.515243902439024
10__NQ_ONLY__xgb_d4__0.0100,2023,TRUE,10,NQ_ONLY,xgb_d4,4,0.01,0.0971137881278992,1,125,0.00585343011004449,70,0.56,65,0.52,0.04,0.008,49,91,0.04,0.152,125,1,99,55,0.555555555555556,26,15,0.576923076923077,0.52,0.472
10__NQ_ONLY__xgb_d4__0.0050,2023,TRUE,10,NQ_ONLY,xgb_d4,4,0.005,0.105614224076271,1,59,0.002762819011941,33,0.559322033898305,30,0.508474576271186,0.0508474576271187,0,35,51,0.0677966101694915,0.220338983050847,59,1,46,25,0.543478260869565,13,8,0.615384615384615,0.508474576271186,0.491525423728814
10__NQ_ONLY__xgb_d5__0.5000,2023,TRUE,10,NQ_ONLY,xgb_d5,5,0.5,0.0279868245124817,1,9874,0.462374151252634,5202,0.526838160826413,5034,0.509823779623253,0.0170143812031598,0.0128620619809601,52,310,0.0054689082438728,0.0270407129835933,9874,1,7654,4027,0.526130128037627,2220,1175,0.529279279279279,0.509823779623253,0.477314158395787
10__NQ_ONLY__xgb_d5__0.2000,2023,TRUE,10,NQ_ONLY,xgb_d5,5,0.2,0.0528419613838196,1,3678,0.172231327557949,1961,0.533170201196302,1902,0.517128874388255,0.0160413268080479,0.010331702011963,52,306,0.00924415443175639,0.0407830342577488,3678,1,3022,1608,0.532097948378557,656,353,0.538109756097561,0.517128874388255,0.472539423599783
10__NQ_ONLY__xgb_d5__0.1000,2023,TRUE,10,NQ_ONLY,xgb_d5,5,0.1,0.0680533349514008,1,1704,0.0797939592601264,924,0.542253521126761,884,0.518779342723005,0.0234741784037559,0.00821596244131455,52,291,0.0134976525821596,0.0557511737089202,1704,1,1419,763,0.537702607470049,285,161,0.564912280701754,0.518779342723005,0.473004694835681
10__NQ_ONLY__xgb_d5__0.0500,2023,TRUE,10,NQ_ONLY,xgb_d5,5,0.05,0.0813456177711487,1,781,0.036572231327558,426,0.545454545454545,403,0.516005121638924,0.029449423815621,0.00512163892445583,52,257,0.0204865556978233,0.0793854033290653,781,1,647,348,0.537867078825348,134,78,0.582089552238806,0.516005121638924,0.47887323943662
10__NQ_ONLY__xgb_d5__0.0200,2023,TRUE,10,NQ_ONLY,xgb_d5,5,0.02,0.0974754214286804,1,280,0.0131116834464997,139,0.496428571428571,133,0.475,0.0214285714285714,0.00714285714285714,52,168,0.0392857142857143,0.128571428571429,280,1,223,108,0.484304932735426,57,31,0.543859649122807,0.475,0.517857142857143
10__NQ_ONLY__xgb_d5__0.0100,2023,TRUE,10,NQ_ONLY,xgb_d5,5,0.01,0.108226978778839,1,132,0.00618122219620698,73,0.553030303030303,67,0.507575757575758,0.0454545454545455,0.00757575757575758,50,98,0.0454545454545455,0.151515151515152,132,1,101,55,0.544554455445545,31,18,0.580645161290323,0.507575757575758,0.484848484848485
10__NQ_ONLY__xgb_d5__0.0050,2023,TRUE,10,NQ_ONLY,xgb_d5,5,0.005,0.119845482707023,1,42,0.00196675251697495,26,0.619047619047619,23,0.547619047619048,0.0714285714285714,0,28,33,0.0714285714285714,0.285714285714286,42,1,29,18,0.620689655172414,13,8,0.615384615384615,0.547619047619048,0.452380952380952
10__NQ_ES__logit__0.5000,2023,TRUE,10,NQ_ES,logit,,0.5,0.0240036836838083,1,10359,0.485085460079607,5458,0.526884834443479,5241,0.505936866492905,0.0209479679505744,0.0136113524471474,52,310,0.00617820252920166,0.0276088425523699,10359,1,7911,4146,0.524080394387562,2448,1312,0.535947712418301,0.505936866492905,0.480451781059948
10__NQ_ES__logit__0.2000,2023,TRUE,10,NQ_ES,logit,,0.2,0.0455939224323991,1,3863,0.180894404120815,2024,0.523945120372767,1923,0.497799637587367,0.0261454827853999,0.0113901113124515,52,303,0.00957804814910691,0.0411597204245405,3863,1,3118,1608,0.515715202052598,745,416,0.558389261744966,0.497799637587367,0.490810251100181
10__NQ_ES__logit__0.1000,2023,TRUE,10,NQ_ES,logit,,0.1,0.0588659245570496,1,1794,0.0840084289393585,954,0.531772575250836,885,0.493311036789298,0.0384615384615385,0.0105908584169454,52,290,0.0128205128205128,0.0529542920847269,1794,1,1458,755,0.517832647462277,336,199,0.592261904761905,0.493311036789298,0.496098104793757
10__NQ_ES__logit__0.0500,2023,TRUE,10,NQ_ES,logit,,0.05,0.0710613887297734,1,796,0.0372746429407633,431,0.541457286432161,399,0.501256281407035,0.0402010050251256,0.0138190954773869,52,256,0.0188442211055276,0.0766331658291457,796,1,654,346,0.529051987767584,142,85,0.598591549295775,0.501256281407035,0.484924623115578
