feature_set,feature
NQ_ES_RICH,es_bar_ret
NQ_ES_RICH,es_range
NQ_ES_RICH,es_close_loc
NQ_ES_RICH,es_ret1
NQ_ES_RICH,es_ret2
NQ_ES_RICH,es_ret5
NQ_ES_RICH,es_ret15
NQ_ES_RICH,es_ret30
NQ_ES_RICH,es_ret60
NQ_ES_RICH,es_rv5
NQ_ES_RICH,es_rv15
NQ_ES_RICH,es_rv60
NQ_ES_RICH,es_rs15
NQ_ES_RICH,es_rs60
NQ_ES_RICH,es_rv5_over_60
NQ_ES_RICH,es_rs15_over_60
NQ_ES_RICH,es_rsi14
NQ_ES_RICH,es_macd
NQ_ES_RICH,es_macd_signal
NQ_ES_RICH,es_macd_hist
NQ_ES_RICH,es_bb_pctB
NQ_ES_RICH,es_bb_width
NQ_ES_RICH,es_vwap20_dist
NQ_ES_RICH,es_ema20_dist
NQ_ES_RICH,es_ema60_dist
NQ_ES_RICH,es_ema20_60_spread
NQ_ES_RICH,es_adx14
NQ_ES_RICH,es_di_spread14
NQ_ES_RICH,es_donchian20_pos
NQ_ES_RICH,es_breakout20_up
NQ_ES_RICH,es_breakout20_down
NQ_ES_RICH,es_vol_rel15
NQ_ES_RICH,es_vol_rel60
NQ_ES_RICH,es_rth_to_now
NQ_ES_RICH,es_rth_vwap_dist
NQ_ES_RICH,es_rth_position
NQ_ES_RICH,es_last_rth_ret
NQ_ES_RICH,es_last_rth_range
NQ_ES_RICH,es_rth_gap
NQ_ES_RICH,es_open30_ret
NQ_ES_RICH,es_open30_green
NQ_ES_RICH,es_open30_range
NQ_ES_RICH,es_open30_vol_rel20
NQ_ES_RICH,es_prevclose_to_1000
NQ_ES_RICH,nq_minus_es_1
NQ_ES_RICH,nq_minus_es_5
NQ_ES_RICH,nq_minus_es_15
NQ_ES_RICH,nq_minus_es_60
NQ_ES_RICH,disagree_1
NQ_ES_RICH,disagree_5
NQ_ES_RICH,disagree_15
NQ_ES_RICH,nq_minus_es_gap
NQ_ES_RICH,nq_minus_es_open30
NQ_ES_RICH,open30_disagree
