horizon_min,model,tau,n,wins,base_wins_selected,full_n,full_model_wins,full_base_wins,n_long,long_wins,n_short,short_wins,win_rate,selected_baseline_win_rate,full_model_win_rate,full_baseline_win_rate,selected_directional_edge,selection_gain_vs_full_baseline,coverage,long_win_rate,short_win_rate
5,Market-state,0.05,3890,1961,1938,155396,79870,78640,1776,892,2114,1069,0.504113110539846,0.498200514138818,0.513977193750161,0.506061932096064,0.00591259640102826,-0.00194882155621845,0.0250328193775902,0.502252252252252,0.505676442762535
5,Market-state,0.075,1309,650,656,155396,79870,78640,531,263,778,387,0.496562261268144,0.501145912910619,0.513977193750161,0.506061932096064,-0.00458365164247521,-0.00949967082792058,0.00842364024814024,0.495291902071563,0.497429305912596
5,Market-state,0.1,534,268,270,155396,79870,78640,186,95,348,173,0.50187265917603,0.50561797752809,0.513977193750161,0.506061932096064,-0.00374531835205993,-0.00418927292003424,0.00343638188885171,0.510752688172043,0.497126436781609
5,Market-state,0.15,132,62,67,114744,58887,57914,38,18,94,44,0.46969696969697,0.507575757575758,0.513203304747961,0.504723558530294,-0.0378787878787878,-0.0350265888333238,0.00115038694833717,0.473684210526316,0.468085106382979
5,Full,0,155396,79588,78640,155396,79588,78640,93415,48256,61981,31332,0.512162475224588,0.506061932096064,0.512162475224588,0.506061932096064,0.00610054312852326,0.00610054312852326,1,0.516576566932506,0.505509752988819
5,Full,0.025,23458,12130,11873,155396,79588,78640,11627,6097,11831,6033,0.517094381447694,0.506138630744309,0.512162475224588,0.506061932096064,0.0109557507033847,0.0110324493516295,0.150956266570568,0.524382901866346,0.509931535795791
5,Full,0.05,5454,2776,2722,155396,79588,78640,2108,1066,3346,1710,0.508984231756509,0.499083241657499,0.512162475224588,0.506061932096064,0.00990099009900991,0.00292229966044477,0.0350974285052382,0.505692599620493,0.511057979677227
5,Full,0.075,1791,900,888,155396,79588,78640,610,305,1181,595,0.50251256281407,0.495812395309883,0.512162475224588,0.506061932096064,0.00670016750418756,-0.0035493692819939,0.0115253931890139,0.5,0.50381033022862
5,Full,0.1,788,395,392,155396,79588,78640,185,97,603,298,0.501269035532995,0.49746192893401,0.512162475224588,0.506061932096064,0.00380710659898481,-0.00479289656306925,0.00507091559628305,0.524324324324324,0.494195688225539
5,Full,0.15,166,78,85,114744,58713,57914,28,13,138,65,0.469879518072289,0.512048192771084,0.511686885588789,0.504723558530294,-0.0421686746987952,-0.0348440404580043,0.00144669873806038,0.464285714285714,0.471014492753623
5,Calendar-only,0.075,96,47,54,33727,17024,17078,47,26,49,21,0.489583333333333,0.5625,0.504758798588668,0.506359889702612,-0.0729166666666667,-0.0167765563692788,0.00284638420256768,0.553191489361702,0.428571428571429
7,Calendar-only,0,155958,78472,79156,155958,78472,79156,93844,47757,62114,30715,0.503161107477654,0.507546903653548,0.503161107477654,0.507546903653548,-0.00438579617589352,-0.00438579617589352,1,0.508897745194152,0.49449399491258
7,Calendar-only,0.025,42501,21388,21425,155958,78472,79156,28212,14262,14289,7126,0.503235217994871,0.504105785746218,0.503161107477654,0.507546903653548,-0.000870567751347084,-0.00431168565867701,0.272515677297734,0.505529561888558,0.49870529778151
7,Calendar-only,0.05,4773,2450,2343,155958,78472,79156,2586,1303,2187,1147,0.513304001676095,0.490886235072282,0.503161107477654,0.507546903653548,0.0224177666038131,0.00575709802254698,0.0306043934905552,0.503866976024749,0.524462734339278
7,Market-state,0,155958,80367,79156,155958,80367,79156,110347,56956,45611,23411,0.515311814719348,0.507546903653548,0.515311814719348,0.507546903653548,0.0077649110657998,0.0077649110657998,1,0.516153588226232,0.513275306395387
