horizon,feature_set,model_id,xgb_depth,target_coverage,confidence_cutoff,selected_n,coverage,wins,win_rate,ci95_lower,ci95_upper,flat_rate,baseline_wr,edge,active_weeks
5,NQ_ONLY,ranger,,0.05,0.0591417245794093,1074,0.05,618,0.575418994413408,0.545219449531851,0.605204184323597,0.0186219739292365,0.509310986964618,0.0661080074487895,53
7,NQ_ONLY,ranger,,0.05,0.0633178506179309,1074,0.0500442663436,618,0.575418994413408,0.545219449531851,0.605204184323597,0.015828677839851,0.535381750465549,0.0400372439478585,53
60,NQ_ONLY,ranger,,0.05,0.0590864554526123,1003,0.050039912193175,578,0.576271186440678,0.545004797663621,0.607088602331235,0.00498504486540379,0.575274177467597,0.000997008973080749,51
30,NQ_ONLY,logit,,0.005,0.086734123703832,104,0.00500963391136802,67,0.644230769230769,0.544333357367402,0.735682010873347,0,0.634615384615385,0.00961538461538469,36
5,NQ_ES,xgb_d2,2,0.05,0.0611199513077736,1074,0.05,617,0.574487895716946,0.544282486521124,0.604284067781378,0.0167597765363129,0.524208566108008,0.0502793296089386,53
7,NQ_ES,xgb_d3,3,0.05,0.0697584450244904,1074,0.0500442663436,617,0.574487895716946,0.544282486521124,0.604284067781378,0.0167597765363129,0.531657355679702,0.042830540037244,53
60,NQ_ES,ranger,,0.2,0.0382148912918836,4009,0.200009978048294,2243,0.559491144923921,0.543960196524851,0.574935303790095,0.00374158144175605,0.555749563482165,0.00374158144175607,53
3,NQ_ONLY,xgb_d2,2,0.1,0.0590600073337555,2150,0.100027914766912,1215,0.565116279069768,0.543851994897255,0.586202798233334,0.0213953488372093,0.487441860465116,0.0776744186046512,53
3,NQ_ES,ranger,,0.1,0.0582331536714029,2150,0.100027914766912,1215,0.565116279069768,0.543851994897255,0.586202798233334,0.0218604651162791,0.492093023255814,0.0730232558139535,53
3,NQ_ONLY,ranger,,0.05,0.068946929673719,1075,0.0500139573834559,617,0.573953488372093,0.543759095759195,0.603741962454241,0.026046511627907,0.48,0.093953488372093,53
1,NQ_ONLY,xgb_d5,5,0.02,0.121942460536957,431,0.0200362605178746,255,0.591647331786543,0.543584893269496,0.638442907293124,0.0464037122969838,0.415313225058005,0.176334106728538,53
60,NQ_ONLY,ranger,,0.1,0.0475487808287341,2005,0.100029934144881,1133,0.565087281795511,0.543056426687599,0.586927513221744,0.00399002493765586,0.564588528678304,0.00049875311720704,53
60,NQ_ES,ranger,,0.1,0.0452495770265389,2005,0.100029934144881,1133,0.565087281795511,0.543056426687599,0.586927513221744,0.00498753117206983,0.561097256857855,0.00399002493765588,53
30,NQ_ES,ranger,,0.05,0.0506958416484038,1038,0.05,595,0.573217726396917,0.542474532256257,0.603544589487617,0.00674373795761079,0.581888246628131,-0.00867052023121384,53
