candidate_id,horizon,feature_set,model_id,xgb_depth,target_coverage,selected_n,wins,overall_wr,base_wins,overall_baseline_wr,overall_edge,total_nonoverlap_n,nonoverlap_fraction,avg_active_weeks_full,min_active_weeks_full,folds_over_50,full_years_over_50,min_full_year_wr,max_full_year_wr,max_top_day_share_all,max_top5_day_share_all,max_top5_day_share_full,long_n,long_wins,long_wr,short_n,short_wins,short_wr,mean_actual_coverage,temporal_ok,persistence_ok,wr_block_lower,wr_block_upper,edge_block_lower,edge_block_upper,statistically_robust,v5_rank,model_display,feature_display,strategy,n_2026,coverage,wr_2026,baseline_2026,edge_2026,weeks_2026,days_2026,top_day_share,top5_share_2026,nonoverlap_n,long_n_2026,long_wr_2026,short_n_2026,short_wr_2026,viewed_in_v5
7__NQ_ES__xgb_d2__0.0100,7,NQ_ES,xgb_d2,2,0.01,701,410,0.584878744650499,369,0.526390870185449,0.0584878744650499,701,1,51,49,3,3,0.537735849056604,0.635071090047393,0.0952380952380952,0.333333333333333,0.0990566037735849,479,280,0.58455114822547,222,130,0.585585585585586,0.0100386899629017,TRUE,TRUE,0.550066978281936,0.62103941616915,0.0148610446247847,0.100452359936821,TRUE,1,XGB d2,NQ + ES,7m | XGB d2 | NQ + ES | 1.0%,42,0.00957155879671832,0.5,0.452380952380952,0.0476190476190476,10,30,0.0952380952380952,0.333333333333333,42,40,0.475,2,1,TRUE
7__NQ_ES__ranger__0.1000,7,NQ_ES,ranger,,0.1,7220,3983,0.551662049861496,3798,0.526038781163435,0.0256232686980609,7220,1,52.6666666666667,52,4,3,0.551823023351086,0.554261760596181,0.036231884057971,0.164251207729469,0.0401262398557259,5664,3121,0.551024011299435,1556,862,0.553984575835476,0.102555896663083,TRUE,TRUE,0.539224743951484,0.562518014965145,0.0158965649579276,0.0363312409239914,TRUE,12,Ranger,NQ + ES,7m | Ranger | NQ + ES | 10.0%,414,0.0943482224247949,0.536231884057971,0.550724637681159,-0.0144927536231884,11,62,0.036231884057971,0.164251207729469,414,342,0.552631578947369,72,0.458333333333333,TRUE
7__NQ_ES__xgb_d3__0.0500,7,NQ_ES,xgb_d3,3,0.05,3767,2096,0.556410937085214,1917,0.508893018316963,0.0475179187682506,3767,1,52.6666666666667,52,4,3,0.54625550660793,0.573970037453184,0.052863436123348,0.202643171806167,0.051498127340824,2612,1439,0.550918836140888,1155,657,0.568831168831169,0.0540135074036034,TRUE,TRUE,0.53897629135018,0.572060116739288,0.0308531375153597,0.0638696637534551,TRUE,13,XGB d3,NQ + ES,7m | XGB d3 | NQ + ES | 5.0%,227,0.0517319963536919,0.519823788546256,0.519823788546256,0,11,61,0.052863436123348,0.202643171806167,227,181,0.524861878453039,46,0.5,TRUE
7__NQ_ES__xgb_d2__0.1000,7,NQ_ES,xgb_d2,2,0.1,7293,4008,0.549568078979844,3817,0.523378582202112,0.0261894967777321,7293,1,52.6666666666667,52,3,3,0.546846846846847,0.560165975103734,0.0382882882882883,0.168918918918919,0.0394308943089431,5559,3057,0.549919050188883,1734,951,0.548442906574394,0.104766606536653,TRUE,TRUE,0.538523101400303,0.561427780852241,0.0154532582181402,0.0363627159727154,TRUE,14,XGB d2,NQ + ES,7m | XGB d2 | NQ + ES | 10.0%,444,0.101185050136737,0.5,0.529279279279279,-0.0292792792792793,11,62,0.0382882882882883,0.168918918918919,444,372,0.518817204301075,72,0.402777777777778,TRUE
7__NQ_ONLY__logit__0.0500,7,NQ_ONLY,logit,,0.05,3289,1825,0.55487990270599,1725,0.524475524475525,0.0304043782304652,3289,1,52.6666666666667,52,4,3,0.536992840095465,0.567332754126846,0.043956043956044,0.203296703296703,0.0847255369928401,2272,1273,0.560299295774648,1017,552,0.542772861356932,0.0463866293102137,TRUE,TRUE,0.538370795591799,0.573625998485847,0.0114159931265589,0.0508486783567352,TRUE,15,Logit,NQ only,7m | Logit | NQ only | 5.0%,182,0.0414767547857794,0.565934065934066,0.593406593406593,-0.0274725274725275,11,50,0.043956043956044,0.203296703296703,182,157,0.592356687898089,25,0.4,TRUE
7__NQ_ONLY__ranger__0.1000,7,NQ_ONLY,ranger,,0.1,7457,4087,0.548075633632828,3894,0.522193911760762,0.0258817218720665,7457,1,52.6666666666667,52,4,3,0.54046881910659,0.555555555555556,0.0368663594470046,0.165898617511521,0.0393366756652526,5743,3147,0.54797144349643,1714,940,0.548424737456243,0.106221796740225,TRUE,TRUE,0.537864482389867,0.559989522469134,0.015406947668967,0.0368284176418664,TRUE,16,Ranger,NQ only,7m | Ranger | NQ only | 10.0%,434,0.0989061075660893,0.516129032258065,0.532258064516129,-0.0161290322580645,11,62,0.0368663594470046,0.165898617511521,434,345,0.530434782608696,89,0.460674157303371,TRUE
7__NQ_ONLY__xgb_d3__0.0500,7,NQ_ONLY,xgb_d3,3,0.05,3782,2096,0.554204124801692,1901,0.502644103648863,0.0515600211528292,3782,1,52.6666666666667,52,3,3,0.542709232096635,0.569526627218935,0.0558139534883721,0.195348837209302,0.0457290767903365,2581,1406,0.544750096861682,1201,690,0.574521232306411,0.0536402317276134,TRUE,TRUE,0.537826059056654,0.570094272474142,0.0334358002920788,0.0689034248053995,TRUE,17,XGB d3,NQ only,7m | XGB d3 | NQ only | 5.0%,215,0.0489972652689152,0.47906976744186,0.516279069767442,-0.0372093023255814,11,58,0.0558139534883721,0.195348837209302,215,171,0.497076023391813,44,0.409090909090909,TRUE
7__NQ_ES__logit__0.1000,7,NQ_ES,logit,,0.1,6741,3706,0.549770063788755,3506,0.520100875241062,0.0296691885476932,6741,1,52.6666666666667,52,4,3,0.543906333155934,0.556679308891698,0.0407608695652174,0.184782608695652,0.0661609776654024,4502,2500,0.555308751665926,2239,1206,0.538633318445735,0.094834610939376,TRUE,TRUE,0.537803824043828,0.563579195223611,0.0162576937934231,0.0433971988563387,TRUE,18,Logit,NQ + ES,7m | Logit | NQ + ES | 10.0%,368,0.0838650865998177,0.510869565217391,0.557065217391304,-0.046195652173913,11,55,0.0407608695652174,0.184782608695652,368,280,0.546428571428571,88,0.397727272727273,TRUE
1__NQ_ONLY__xgb_d2__0.1000,1,NQ_ONLY,xgb_d2,2,0.1,7048,3869,0.548950056753689,3414,0.484392735527809,0.0645573212258797,7048,1,52.6666666666667,52,4,3,0.538046146293569,0.554514480408859,0.0344827586206897,0.148706896551724,0.0381991814461119,4303,2315,0.537996746455961,2745,1554,0.566120218579235,0.102692750951504,TRUE,TRUE,0.537644294745327,0.560158362691779,0.0491852337415939,0.0784723993459988,TRUE,19,XGB d2,NQ only,1m | XGB d2 | NQ only | 10.0%,464,0.105694760820046,0.545258620689655,0.504310344827586,0.040948275862069,11,59,0.0344827586206897,0.148706896551724,464,327,0.53822629969419,137,0.562043795620438,TRUE
5__NQ_ONLY__ranger__0.0500,5,NQ_ONLY,ranger,,0.05,3669,2028,0.552739165985282,1901,0.518124829653857,0.0346143363314255,3669,1,52.6666666666667,52,4,3,0.519793459552496,0.578598484848485,0.0473684210526316,0.194736842105263,0.0475812846946868,2779,1527,0.549478229578985,890,501,0.562921348314607,0.0511635690599209,TRUE,TRUE,0.537578300700379,0.568820687686342,0.0183124738590947,0.0514350978922194,TRUE,20,Ranger,NQ only,5m | Ranger | NQ only | 5.0%,190,0.0432900432900433,0.505263157894737,0.531578947368421,-0.0263157894736842,11,54,0.0473684210526316,0.194736842105263,190,155,0.52258064516129,35,0.428571428571429,TRUE
7__NQ_ES__xgb_d2__0.0200,7,NQ_ES,xgb_d2,2,0.02,1440,810,0.5625,741,0.514583333333333,0.0479166666666667,1440,1,52.6666666666667,52,3,3,0.552106430155211,0.579520697167756,0.0864197530864198,0.283950617283951,0.0709534368070954,1056,586,0.554924242424242,384,224,0.583333333333333,0.0203803078611885,TRUE,TRUE,0.537491061241907,0.586501290616459,0.0237444502097771,0.0733547219099877,TRUE,21,XGB d2,NQ + ES,7m | XGB d2 | NQ + ES | 2.0%,81,0.0184594348222425,0.469135802469136,0.444444444444444,0.0246913580246914,10,41,0.0864197530864198,0.283950617283951,81,77,0.454545454545455,4,0.75,TRUE
